index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
3496,0.45-0.49,Med,VS1,VG,GD,GD,-54.0,-49.0,-47.0,-42,-43,-47,-49,-47,-49,-51
3497,0.45-0.49,Med,VS2,VG,GD,GD,-50.0,-52.0,-50.0,-45,-41,-45,-46,-47,-47,-51
3498,0.45-0.49,Med,VVS1,VG,GD,GD,-50.0,-42.0,-41.0,-44,-44,-50,-46,-52,-47,-48
3499,0.45-0.49,Med,VVS2,VG,GD,GD,-57.0,-51.0,-47.0,-45,-45,-49,-52,-51,-50,-56
3500,0.50-0.59,Med,IF,VG,GD,GD,-68.0,-60.0,-59.0,-58,-63,-61,-55,-53,-54,-53
3501,0.50-0.59,Med,SI1,VG,GD,GD,-66.0,-67.0,-68.0,-63,-60,-59,-57,-55,-53,-55
3502,0.50-0.59,Med,SI2,VG,GD,GD,-65.0,-66.0,-67.0,-63,-62,-62,-57,-56,-53,-50
3503,0.50-0.59,Med,VS1,VG,GD,GD,-68.0,-66.0,-66.0,-63,-63,-59,-55,-55,-53,-53
3504,0.50-0.59,Med,VS2,VG,GD,GD,-69.0,-68.0,-67.0,-64,-63,-59,-57,-58,-52,-53
3505,0.50-0.59,Med,VVS1,VG,GD,GD,-68.0,-59.0,-59.0,-59,-63,-62,-57,-53,-53,-55
3506,0.50-0.59,Med,VVS2,VG,GD,GD,-70.0,-66.0,-64.0,-61,-62,-61,-58,-57,-52,-55
3507,0.70-0.74,Med,IF,VG,GD,GD,-61.0,-56.0,-52.0,-56,-61,-58,-54,-54,-49,-52
3508,0.70-0.74,Med,SI1,VG,GD,GD,-65.0,-64.0,-59.0,-57,-56,-54,-52,-51,-54,-57
3509,0.70-0.74,Med,SI2,VG,GD,GD,-65.0,-65.0,-63.0,-61,-58,-54,-54,-56,-54,-58
3510,0.70-0.74,Med,VS1,VG,GD,GD,-62.0,-63.0,-60.0,-56,-60,-54,-52,-53,-55,-61
3511,0.70-0.74,Med,VS2,VG,GD,GD,-66.0,-64.0,-61.0,-60,-58,-57,-54,-56,-56,-60
3512,0.70-0.74,Med,VVS1,VG,GD,GD,-57.0,-56.0,-51.0,-57,-60,-58,-53,-51,-54,-53
3513,0.70-0.74,Med,VVS2,VG,GD,GD,-62.0,-59.0,-56.0,-58,-61,-57,-53,-54,-53,-58
3514,0.75-0.79,Med,IF,VG,GD,GD,-54.0,-48.0,-46.0,-50,-55,-52,-50,-47,-48,-49
3515,0.75-0.79,Med,SI1,VG,GD,GD,-59.0,-57.0,-57.0,-52,-50,-47,-45,-50,-47,-55
3516,0.75-0.79,Med,SI2,VG,GD,GD,-62.0,-59.0,-61.0,-56,-50,-51,-45,-51,-50,-51
3517,0.75-0.79,Med,VS1,VG,GD,GD,-55.0,-54.0,-55.0,-52,-54,-48,-46,-48,-47,-52
3518,0.75-0.79,Med,VS2,VG,GD,GD,-60.0,-61.0,-59.0,-55,-52,-47,-46,-48,-45,-54
3519,0.75-0.79,Med,VVS1,VG,GD,GD,-51.0,-46.0,-44.0,-50,-55,-52,-48,-48,-45,-48
3520,0.75-0.79,Med,VVS2,VG,GD,GD,-55.0,-53.0,-51.0,-56,-57,-51,-49,-49,-45,-54
3521,0.80-0.89,Med,IF,VG,GD,GD,-49.0,-43.0,-41.0,-43,-48,-42,-43,-38,-42,-44
3522,0.80-0.89,Med,SI1,VG,GD,GD,-52.0,-53.0,-50.0,-50,-47,-43,-43,-47,-46,-50
3523,0.80-0.89,Med,SI2,VG,GD,GD,-54.0,-58.0,-56.0,-54,-50,-48,-44,-45,-47,-50
3524,0.80-0.89,Med,VS1,VG,GD,GD,-48.0,-47.0,-47.0,-50,-49,-47,-42,-38,-45,-48
3525,0.80-0.89,Med,VS2,VG,GD,GD,-48.0,-49.0,-49.0,-48,-48,-47,-40,-41,-44,-48
3526,0.80-0.89,Med,VVS1,VG,GD,GD,-44.0,-41.0,-42.0,-42,-47,-44,-43,-40,-41,-47
3527,0.80-0.89,Med,VVS2,VG,GD,GD,-47.0,-45.0,-47.0,-47,-50,-46,-43,-35,-45,-52
3528,0.90-0.94,Med,IF,VG,GD,GD,-66.0,-65.0,-65.0,-67,-67,-58,-55,-55,-58,-61
3529,0.90-0.94,Med,SI1,VG,GD,GD,-63.0,-60.0,-59.0,-57,-58,-59,-58,-54,-57,-59
3530,0.90-0.94,Med,SI2,VG,GD,GD,-67.0,-66.0,-61.0,-62,-61,-57,-56,-58,-55,-56
3531,0.90-0.94,Med,VS1,VG,GD,GD,-70.0,-67.0,-62.0,-62,-64,-61,-58,-56,-57,-58
3532,0.90-0.94,Med,VS2,VG,GD,GD,-68.0,-64.0,-63.0,-61,-63,-61,-60,-58,-58,-57
3533,0.90-0.94,Med,VVS1,VG,GD,GD,-66.0,-63.0,-62.0,-65,-67,-59,-56,-54,-58,-59
3534,0.90-0.94,Med,VVS2,VG,GD,GD,-70.0,-66.0,-63.0,-65,-67,-62,-59,-58,-59,-58
3535,0.95-0.99,Med,IF,VG,GD,GD,-61.0,-59.0,-58.0,-65,-63,-57,-52,-52,-55,-54
3536,0.95-0.99,Med,SI1,VG,GD,GD,-59.0,-57.0,-57.0,-56,-56,-58,-57,-51,-51,-55
3537,0.95-0.99,Med,SI2,VG,GD,GD,-65.0,-61.0,-59.0,-56,-57,-56,-54,-51,-52,-55
3538,0.95-0.99,Med,VS1,VG,GD,GD,-65.0,-61.0,-57.0,-57,-56,-56,-53,-52,-53,-54
3539,0.95-0.99,Med,VS2,VG,GD,GD,-57.0,-56.0,-58.0,-56,-59,-58,-59,-52,-52,-53
3540,0.95-0.99,Med,VVS1,VG,GD,GD,-63.0,-60.0,-60.0,-61,-61,-58,-53,-52,-57,-58
3541,0.95-0.99,Med,VVS2,VG,GD,GD,-65.0,-64.0,-59.0,-61,-59,-57,-56,-51,-57,-57
3542,0.30-0.34,Strong,IF,EX,GD,GD,-64.0,-59.0,-58.0,-61,-62,-61,-61,-60,-55,-57
3543,0.30-0.34,Strong,SI1,EX,GD,GD,-61.0,-62.0,-61.0,-56,-54,-56,-52,-52,-52,-50
3544,0.30-0.34,Strong,SI2,EX,GD,GD,-61.0,-63.0,-60.0,-54,-53,-54,-50,-54,-54,-50
3545,0.30-0.34,Strong,VS1,EX,GD,GD,-58.0,-61.0,-59.0,-56,-55,-56,-55,-53,-52,-53
3546,0.30-0.34,Strong,VS2,EX,GD,GD,-62.0,-62.0,-60.0,-56,-54,-57,-55,-52,-53,-51
3547,0.30-0.34,Strong,VVS1,EX,GD,GD,-61.0,-57.0,-56.0,-60,-60,-59,-59,-58,-54,-60
3548,0.30-0.34,Strong,VVS2,EX,GD,GD,-62.0,-61.0,-60.0,-58,-59,-60,-60,-57,-56,-58
3549,0.35-0.39,Strong,IF,EX,GD,GD,-61.0,-49.0,-54.0,-58,-58,-58,-57,-57,-55,-51
3550,0.35-0.39,Strong,SI1,EX,GD,GD,-58.0,-62.0,-60.0,-57,-54,-52,-43,-50,-49,-50
3551,0.35-0.39,Strong,SI2,EX,GD,GD,-60.0,-61.0,-59.0,-55,-55,-53,-48,-54,-50,-50
3552,0.35-0.39,Strong,VS1,EX,GD,GD,-57.0,-62.0,-60.0,-57,-56,-55,-49,-52,-49,-50
3553,0.35-0.39,Strong,VS2,EX,GD,GD,-60.0,-63.0,-61.0,-57,-54,-55,-47,-50,-51,-50
3554,0.35-0.39,Strong,VVS1,EX,GD,GD,-57.0,-51.0,-54.0,-58,-57,-57,-54,-56,-54,-52
3555,0.35-0.39,Strong,VVS2,EX,GD,GD,-60.0,-58.0,-57.0,-60,-58,-58,-53,-56,-53,-55
3556,0.40-0.44,Strong,IF,EX,GD,GD,-51.0,-46.0,-46.0,-50,-48,-52,-50,-51,-48,-52
3557,0.40-0.44,Strong,IF,EX,GD,GD,-51.0,-46.0,-46.0,-50,-48,-52,-50,-51,-48,-52
3558,0.40-0.44,Strong,SI1,EX,GD,GD,-57.0,-54.0,-52.0,-48,-47,-48,-46,-48,-50,-47
3559,0.40-0.44,Strong,SI1,EX,GD,GD,-57.0,-54.0,-52.0,-48,-47,-48,-46,-48,-50,-47
3560,0.40-0.44,Strong,SI2,EX,GD,GD,-59.0,-59.0,-55.0,-51,-49,-48,-47,-45,-43,-45
3561,0.40-0.44,Strong,SI2,EX,GD,GD,-59.0,-59.0,-55.0,-51,-49,-48,-47,-45,-43,-45
3562,0.40-0.44,Strong,VS1,EX,GD,GD,-56.0,-52.0,-51.0,-47,-46,-54,-51,-50,-51,-51
3563,0.40-0.44,Strong,VS1,EX,GD,GD,-56.0,-52.0,-51.0,-47,-46,-54,-51,-50,-51,-51
3564,0.40-0.44,Strong,VS2,EX,GD,GD,-57.0,-56.0,-54.0,-49,-46,-54,-50,-50,-52,-49
3565,0.40-0.44,Strong,VS2,EX,GD,GD,-57.0,-56.0,-54.0,-49,-46,-54,-50,-50,-52,-49
3566,0.40-0.44,Strong,VVS1,EX,GD,GD,-50.0,-45.0,-46.0,-48,-48,-53,-52,-52,-47,-50
3567,0.40-0.44,Strong,VVS1,EX,GD,GD,-50.0,-45.0,-46.0,-48,-48,-53,-52,-52,-47,-50
3568,0.40-0.44,Strong,VVS2,EX,GD,GD,-54.0,-51.0,-49.0,-49,-49,-55,-52,-53,-53,-52
3569,0.40-0.44,Strong,VVS2,EX,GD,GD,-54.0,-51.0,-49.0,-49,-49,-55,-52,-53,-53,-52
3570,0.45-0.49,Strong,IF,EX,GD,GD,-46.0,-37.0,-35.0,-35,-38,-40,-37,-49,-43,-41
3571,0.45-0.49,Strong,SI1,EX,GD,GD,-48.0,-44.0,-42.0,-39,-37,-39,-39,-40,-40,-45
3572,0.45-0.49,Strong,SI2,EX,GD,GD,-54.0,-52.0,-48.0,-44,-41,-40,-39,-40,-39,-47
3573,0.45-0.49,Strong,VS1,EX,GD,GD,-46.0,-42.0,-41.0,-36,-38,-42,-44,-42,-44,-46
3574,0.45-0.49,Strong,VS2,EX,GD,GD,-42.0,-45.0,-44.0,-39,-36,-40,-41,-42,-42,-46
3575,0.45-0.49,Strong,VVS1,EX,GD,GD,-42.0,-35.0,-35.0,-38,-39,-45,-41,-46,-41,-42
3576,0.45-0.49,Strong,VVS2,EX,GD,GD,-49.0,-44.0,-41.0,-39,-40,-44,-47,-45,-44,-50
3577,0.50-0.59,Strong,IF,EX,GD,GD,-62.0,-58.0,-59.0,-58,-62,-61,-57,-56,-57,-56
3578,0.50-0.59,Strong,SI1,EX,GD,GD,-62.0,-63.0,-64.0,-62,-58,-58,-57,-56,-54,-56
3579,0.50-0.59,Strong,SI2,EX,GD,GD,-61.0,-62.0,-63.0,-62,-60,-61,-57,-57,-54,-51
3580,0.50-0.59,Strong,VS1,EX,GD,GD,-64.0,-63.0,-63.0,-61,-61,-59,-55,-55,-53,-53
3581,0.50-0.59,Strong,VS2,EX,GD,GD,-65.0,-65.0,-64.0,-62,-61,-59,-57,-58,-52,-53
3582,0.50-0.59,Strong,VVS1,EX,GD,GD,-62.0,-57.0,-59.0,-59,-62,-62,-59,-56,-56,-58
3583,0.50-0.59,Strong,VVS2,EX,GD,GD,-66.0,-64.0,-64.0,-61,-61,-61,-60,-60,-55,-58
3584,0.70-0.74,Strong,IF,EX,GD,GD,-61.0,-56.0,-53.0,-58,-63,-60,-58,-57,-52,-55
3585,0.70-0.74,Strong,SI1,EX,GD,GD,-61.0,-59.0,-56.0,-56,-55,-53,-50,-48,-51,-54
3586,0.70-0.74,Strong,SI2,EX,GD,GD,-61.0,-60.0,-60.0,-60,-57,-53,-52,-53,-51,-55
3587,0.70-0.74,Strong,VS1,EX,GD,GD,-58.0,-59.0,-57.0,-54,-59,-53,-51,-51,-53,-59
3588,0.70-0.74,Strong,VS2,EX,GD,GD,-62.0,-60.0,-58.0,-58,-57,-56,-53,-54,-54,-58
3589,0.70-0.74,Strong,VVS1,EX,GD,GD,-57.0,-56.0,-52.0,-59,-62,-60,-57,-54,-57,-56
3590,0.70-0.74,Strong,VVS2,EX,GD,GD,-62.0,-59.0,-57.0,-60,-63,-59,-57,-57,-56,-61
3591,0.75-0.79,Strong,IF,EX,GD,GD,-55.0,-51.0,-49.0,-53,-57,-55,-52,-50,-51,-52
3592,0.75-0.79,Strong,SI1,EX,GD,GD,-56.0,-54.0,-54.0,-49,-48,-44,-41,-47,-44,-52
3593,0.75-0.79,Strong,SI2,EX,GD,GD,-59.0,-56.0,-58.0,-53,-48,-48,-41,-48,-47,-48
3594,0.75-0.79,Strong,VS1,EX,GD,GD,-52.0,-51.0,-52.0,-50,-52,-48,-45,-48,-47,-52
3595,0.75-0.79,Strong,VS2,EX,GD,GD,-57.0,-58.0,-56.0,-53,-50,-47,-45,-48,-45,-54
3596,0.75-0.79,Strong,VVS1,EX,GD,GD,-52.0,-49.0,-47.0,-53,-57,-55,-50,-51,-48,-51
3597,0.75-0.79,Strong,VVS2,EX,GD,GD,-56.0,-56.0,-54.0,-59,-59,-54,-51,-52,-48,-57
3598,0.80-0.89,Strong,IF,EX,GD,GD,-52.0,-47.0,-44.0,-47,-50,-46,-45,-40,-44,-46
3599,0.80-0.89,Strong,SI1,EX,GD,GD,-47.0,-47.0,-46.0,-46,-44,-40,-39,-44,-43,-47
3600,0.80-0.89,Strong,SI2,EX,GD,GD,-49.0,-52.0,-52.0,-50,-47,-45,-40,-42,-44,-47
3601,0.80-0.89,Strong,VS1,EX,GD,GD,-51.0,-49.0,-48.0,-48,-47,-48,-43,-37,-44,-47
3602,0.80-0.89,Strong,VS2,EX,GD,GD,-51.0,-51.0,-50.0,-46,-46,-48,-41,-40,-43,-47
3603,0.80-0.89,Strong,VVS1,EX,GD,GD,-47.0,-45.0,-45.0,-46,-49,-48,-45,-42,-43,-49
3604,0.80-0.89,Strong,VVS2,EX,GD,GD,-50.0,-49.0,-50.0,-51,-52,-50,-45,-37,-47,-54
3605,0.90-0.94,Strong,IF,EX,GD,GD,-61.0,-61.0,-61.0,-62,-62,-53,-52,-53,-56,-59
3606,0.90-0.94,Strong,SI1,EX,GD,GD,-57.0,-54.0,-55.0,-53,-54,-54,-54,-51,-54,-56
3607,0.90-0.94,Strong,SI2,EX,GD,GD,-61.0,-60.0,-57.0,-58,-57,-52,-52,-55,-52,-53
3608,0.90-0.94,Strong,VS1,EX,GD,GD,-65.0,-61.0,-57.0,-56,-58,-55,-53,-52,-53,-54
3609,0.90-0.94,Strong,VS2,EX,GD,GD,-63.0,-58.0,-58.0,-55,-57,-55,-55,-54,-54,-53
3610,0.90-0.94,Strong,VVS1,EX,GD,GD,-61.0,-59.0,-58.0,-60,-62,-54,-53,-52,-56,-57
3611,0.90-0.94,Strong,VVS2,EX,GD,GD,-65.0,-62.0,-59.0,-60,-62,-57,-56,-56,-57,-56
3612,0.95-0.99,Strong,IF,EX,GD,GD,-57.0,-55.0,-55.0,-61,-59,-52,-47,-48,-51,-50
3613,0.95-0.99,Strong,SI1,EX,GD,GD,-55.0,-53.0,-54.0,-51,-51,-51,-51,-46,-46,-50
3614,0.95-0.99,Strong,SI2,EX,GD,GD,-61.0,-57.0,-56.0,-51,-52,-49,-48,-46,-47,-50
3615,0.95-0.99,Strong,VS1,EX,GD,GD,-61.0,-57.0,-54.0,-52,-51,-50,-48,-49,-50,-51
3616,0.95-0.99,Strong,VS2,EX,GD,GD,-53.0,-52.0,-55.0,-51,-54,-52,-54,-49,-49,-50
3617,0.95-0.99,Strong,VVS1,EX,GD,GD,-59.0,-56.0,-57.0,-57,-57,-53,-48,-48,-53,-54
3618,0.95-0.99,Strong,VVS2,EX,GD,GD,-61.0,-60.0,-56.0,-57,-55,-52,-51,-47,-53,-53
3619,0.30-0.34,Strong,IF,VG,GD,GD,-72.0,-66.0,-64.0,-67,-68,-67,-67,-65,-60,-62
3620,0.30-0.34,Strong,SI1,VG,GD,GD,-67.0,-68.0,-67.0,-62,-60,-62,-58,-57,-57,-55
3621,0.30-0.34,Strong,SI2,VG,GD,GD,-67.0,-69.0,-66.0,-60,-59,-60,-56,-59,-59,-55
3622,0.30-0.34,Strong,VS1,VG,GD,GD,-64.0,-67.0,-65.0,-62,-61,-62,-61,-58,-57,-58
3623,0.30-0.34,Strong,VS2,VG,GD,GD,-68.0,-68.0,-66.0,-62,-60,-63,-61,-57,-58,-56
3624,0.30-0.34,Strong,VVS1,VG,GD,GD,-69.0,-64.0,-62.0,-66,-66,-65,-65,-63,-59,-65
3625,0.30-0.34,Strong,VVS2,VG,GD,GD,-70.0,-68.0,-66.0,-64,-65,-66,-66,-62,-61,-63
3626,0.35-0.39,Strong,IF,VG,GD,GD,-71.0,-59.0,-62.0,-64,-65,-64,-63,-63,-61,-57
3627,0.35-0.39,Strong,SI1,VG,GD,GD,-66.0,-70.0,-66.0,-63,-60,-58,-49,-55,-54,-55
3628,0.35-0.39,Strong,SI2,VG,GD,GD,-68.0,-69.0,-65.0,-61,-61,-59,-54,-59,-55,-55
3629,0.35-0.39,Strong,VS1,VG,GD,GD,-67.0,-70.0,-66.0,-63,-62,-61,-55,-58,-55,-56
3630,0.35-0.39,Strong,VS2,VG,GD,GD,-70.0,-71.0,-67.0,-63,-60,-61,-53,-56,-57,-56
3631,0.35-0.39,Strong,VVS1,VG,GD,GD,-67.0,-61.0,-62.0,-64,-64,-63,-60,-62,-60,-58
3632,0.35-0.39,Strong,VVS2,VG,GD,GD,-70.0,-68.0,-65.0,-66,-65,-64,-59,-62,-59,-61
3633,0.40-0.44,Strong,IF,VG,GD,GD,-58.0,-52.0,-52.0,-56,-54,-58,-57,-58,-55,-59
3634,0.40-0.44,Strong,IF,VG,GD,GD,-58.0,-52.0,-52.0,-56,-54,-58,-57,-58,-55,-59
3635,0.40-0.44,Strong,SI1,VG,GD,GD,-63.0,-60.0,-59.0,-55,-53,-54,-52,-53,-55,-52
3636,0.40-0.44,Strong,SI1,VG,GD,GD,-63.0,-60.0,-59.0,-55,-53,-54,-52,-53,-55,-52
3637,0.40-0.44,Strong,SI2,VG,GD,GD,-65.0,-65.0,-62.0,-58,-55,-54,-53,-50,-48,-50
3638,0.40-0.44,Strong,SI2,VG,GD,GD,-65.0,-65.0,-62.0,-58,-55,-54,-53,-50,-48,-50
3639,0.40-0.44,Strong,VS1,VG,GD,GD,-62.0,-58.0,-57.0,-53,-52,-60,-57,-56,-57,-57
3640,0.40-0.44,Strong,VS1,VG,GD,GD,-62.0,-58.0,-57.0,-53,-52,-60,-57,-56,-57,-57
3641,0.40-0.44,Strong,VS2,VG,GD,GD,-63.0,-62.0,-60.0,-55,-52,-60,-56,-56,-58,-55
3642,0.40-0.44,Strong,VS2,VG,GD,GD,-63.0,-62.0,-60.0,-55,-52,-60,-56,-56,-58,-55
3643,0.40-0.44,Strong,VVS1,VG,GD,GD,-57.0,-51.0,-52.0,-54,-54,-59,-59,-59,-54,-57
3644,0.40-0.44,Strong,VVS1,VG,GD,GD,-57.0,-51.0,-52.0,-54,-54,-59,-59,-59,-54,-57
3645,0.40-0.44,Strong,VVS2,VG,GD,GD,-61.0,-57.0,-55.0,-55,-55,-61,-59,-60,-60,-59
3646,0.40-0.44,Strong,VVS2,VG,GD,GD,-61.0,-57.0,-55.0,-55,-55,-61,-59,-60,-60,-59
3647,0.45-0.49,Strong,IF,VG,GD,GD,-59.0,-49.0,-46.0,-46,-48,-50,-47,-60,-54,-52
3648,0.45-0.49,Strong,SI1,VG,GD,GD,-60.0,-55.0,-53.0,-50,-47,-49,-50,-50,-50,-55
3649,0.45-0.49,Strong,SI2,VG,GD,GD,-66.0,-63.0,-59.0,-55,-51,-50,-50,-50,-49,-57
3650,0.45-0.49,Strong,VS1,VG,GD,GD,-59.0,-54.0,-52.0,-47,-48,-52,-54,-52,-54,-56
3651,0.45-0.49,Strong,VS2,VG,GD,GD,-55.0,-57.0,-55.0,-50,-46,-50,-51,-52,-52,-56
3652,0.45-0.49,Strong,VVS1,VG,GD,GD,-55.0,-47.0,-46.0,-49,-49,-55,-51,-57,-52,-53
3653,0.45-0.49,Strong,VVS2,VG,GD,GD,-62.0,-56.0,-52.0,-50,-50,-54,-57,-56,-55,-61
3654,0.50-0.59,Strong,IF,VG,GD,GD,-73.0,-67.0,-66.0,-64,-69,-67,-62,-61,-62,-61
3655,0.50-0.59,Strong,SI1,VG,GD,GD,-71.0,-72.0,-73.0,-68,-65,-64,-62,-61,-59,-61
3656,0.50-0.59,Strong,SI2,VG,GD,GD,-70.0,-71.0,-72.0,-68,-67,-67,-62,-62,-59,-56
3657,0.50-0.59,Strong,VS1,VG,GD,GD,-73.0,-71.0,-71.0,-68,-68,-64,-60,-60,-58,-58
3658,0.50-0.59,Strong,VS2,VG,GD,GD,-73.0,-73.0,-72.0,-69,-68,-64,-62,-63,-57,-58
3659,0.50-0.59,Strong,VVS1,VG,GD,GD,-73.0,-66.0,-66.0,-65,-69,-68,-64,-61,-61,-63
3660,0.50-0.59,Strong,VVS2,VG,GD,GD,-73.0,-73.0,-71.0,-67,-68,-67,-65,-65,-60,-63
3661,0.70-0.74,Strong,IF,VG,GD,GD,-69.0,-65.0,-60.0,-65,-70,-67,-64,-63,-58,-61
3662,0.70-0.74,Strong,SI1,VG,GD,GD,-69.0,-67.0,-63.0,-62,-61,-59,-56,-55,-58,-61
3663,0.70-0.74,Strong,SI2,VG,GD,GD,-69.0,-68.0,-67.0,-66,-63,-59,-58,-60,-58,-62
3664,0.70-0.74,Strong,VS1,VG,GD,GD,-66.0,-67.0,-65.0,-61,-66,-60,-58,-57,-59,-65
3665,0.70-0.74,Strong,VS2,VG,GD,GD,-70.0,-68.0,-66.0,-65,-64,-63,-60,-60,-60,-64
3666,0.70-0.74,Strong,VVS1,VG,GD,GD,-65.0,-65.0,-59.0,-66,-69,-67,-63,-60,-63,-62
3667,0.70-0.74,Strong,VVS2,VG,GD,GD,-70.0,-68.0,-64.0,-67,-70,-66,-63,-63,-62,-67
3668,0.75-0.79,Strong,IF,VG,GD,GD,-63.0,-59.0,-57.0,-60,-64,-62,-59,-56,-57,-58
3669,0.75-0.79,Strong,SI1,VG,GD,GD,-64.0,-62.0,-62.0,-56,-55,-51,-48,-53,-50,-58
3670,0.75-0.79,Strong,SI2,VG,GD,GD,-67.0,-64.0,-66.0,-60,-55,-55,-48,-54,-53,-54
3671,0.75-0.79,Strong,VS1,VG,GD,GD,-60.0,-59.0,-60.0,-57,-59,-55,-51,-53,-52,-57
3672,0.75-0.79,Strong,VS2,VG,GD,GD,-65.0,-66.0,-64.0,-60,-57,-54,-51,-53,-50,-59
3673,0.75-0.79,Strong,VVS1,VG,GD,GD,-60.0,-57.0,-55.0,-60,-64,-62,-57,-57,-54,-57
3674,0.75-0.79,Strong,VVS2,VG,GD,GD,-64.0,-64.0,-62.0,-66,-66,-61,-58,-58,-54,-63
3675,0.80-0.89,Strong,IF,VG,GD,GD,-61.0,-56.0,-53.0,-55,-58,-52,-52,-47,-51,-53
3676,0.80-0.89,Strong,SI1,VG,GD,GD,-55.0,-55.0,-53.0,-53,-51,-47,-46,-50,-49,-53
3677,0.80-0.89,Strong,SI2,VG,GD,GD,-57.0,-60.0,-59.0,-57,-54,-52,-47,-48,-50,-53
3678,0.80-0.89,Strong,VS1,VG,GD,GD,-59.0,-57.0,-56.0,-56,-55,-54,-49,-43,-50,-53
3679,0.80-0.89,Strong,VS2,VG,GD,GD,-59.0,-59.0,-58.0,-54,-54,-54,-47,-46,-49,-53
3680,0.80-0.89,Strong,VVS1,VG,GD,GD,-56.0,-54.0,-54.0,-54,-57,-54,-52,-49,-50,-56
3681,0.80-0.89,Strong,VVS2,VG,GD,GD,-59.0,-58.0,-59.0,-59,-60,-56,-52,-44,-54,-61
3682,0.90-0.94,Strong,IF,VG,GD,GD,-71.0,-71.0,-71.0,-72,-72,-62,-60,-61,-64,-67
3683,0.90-0.94,Strong,SI1,VG,GD,GD,-68.0,-64.0,-64.0,-62,-63,-62,-61,-58,-61,-63
3684,0.90-0.94,Strong,SI2,VG,GD,GD,-72.0,-70.0,-66.0,-67,-66,-60,-59,-62,-59,-60
3685,0.90-0.94,Strong,VS1,VG,GD,GD,-73.0,-71.0,-67.0,-66,-68,-64,-61,-60,-61,-62
3686,0.90-0.94,Strong,VS2,VG,GD,GD,-73.0,-68.0,-68.0,-65,-67,-64,-63,-62,-62,-61
3687,0.90-0.94,Strong,VVS1,VG,GD,GD,-71.0,-69.0,-68.0,-70,-72,-63,-61,-60,-64,-65
3688,0.90-0.94,Strong,VVS2,VG,GD,GD,-73.0,-72.0,-69.0,-70,-72,-66,-64,-64,-65,-64
3689,0.95-0.99,Strong,IF,VG,GD,GD,-66.0,-64.0,-64.0,-70,-68,-61,-56,-56,-59,-58
3690,0.95-0.99,Strong,SI1,VG,GD,GD,-64.0,-62.0,-62.0,-60,-60,-60,-59,-53,-53,-57
3691,0.95-0.99,Strong,SI2,VG,GD,GD,-70.0,-66.0,-64.0,-60,-61,-58,-56,-53,-54,-57
3692,0.95-0.99,Strong,VS1,VG,GD,GD,-70.0,-66.0,-62.0,-61,-60,-59,-56,-55,-56,-57
3693,0.95-0.99,Strong,VS2,VG,GD,GD,-62.0,-61.0,-63.0,-60,-63,-61,-62,-55,-55,-56
3694,0.95-0.99,Strong,VVS1,VG,GD,GD,-68.0,-65.0,-66.0,-66,-66,-62,-57,-56,-61,-62
3695,0.95-0.99,Strong,VVS2,VG,GD,GD,-70.0,-69.0,-65.0,-66,-64,-61,-60,-55,-61,-61
3696,0.30-0.34,Very Strong,IF,EX,GD,GD,-69.0,-64.0,-63.0,-66,-67,-66,-66,-65,-60,-62
3697,0.30-0.34,Very Strong,SI1,EX,GD,GD,-66.0,-67.0,-66.0,-61,-59,-61,-57,-57,-57,-55
3698,0.30-0.34,Very Strong,SI2,EX,GD,GD,-66.0,-68.0,-65.0,-59,-58,-59,-55,-59,-59,-55
3699,0.30-0.34,Very Strong,VS1,EX,GD,GD,-63.0,-66.0,-64.0,-61,-60,-61,-60,-58,-57,-58
3700,0.30-0.34,Very Strong,VS2,EX,GD,GD,-67.0,-67.0,-65.0,-61,-59,-62,-60,-57,-58,-56
3701,0.30-0.34,Very Strong,VVS1,EX,GD,GD,-66.0,-62.0,-61.0,-65,-65,-64,-64,-63,-59,-65
3702,0.30-0.34,Very Strong,VVS2,EX,GD,GD,-67.0,-66.0,-65.0,-63,-64,-65,-65,-62,-61,-63
3703,0.35-0.39,Very Strong,IF,EX,GD,GD,-66.0,-54.0,-59.0,-63,-63,-63,-62,-62,-60,-56
3704,0.35-0.39,Very Strong,SI1,EX,GD,GD,-63.0,-67.0,-65.0,-62,-59,-57,-48,-55,-54,-55
3705,0.35-0.39,Very Strong,SI2,EX,GD,GD,-65.0,-66.0,-64.0,-60,-60,-58,-53,-59,-55,-55
3706,0.35-0.39,Very Strong,VS1,EX,GD,GD,-62.0,-67.0,-65.0,-62,-61,-60,-54,-57,-54,-55
3707,0.35-0.39,Very Strong,VS2,EX,GD,GD,-65.0,-68.0,-66.0,-62,-59,-60,-52,-55,-56,-55
3708,0.35-0.39,Very Strong,VVS1,EX,GD,GD,-62.0,-56.0,-59.0,-63,-62,-62,-59,-61,-59,-57
3709,0.35-0.39,Very Strong,VVS2,EX,GD,GD,-65.0,-63.0,-62.0,-65,-63,-63,-58,-61,-58,-60
3710,0.40-0.44,Very Strong,IF,EX,GD,GD,-56.0,-51.0,-51.0,-55,-53,-57,-55,-56,-53,-57
3711,0.40-0.44,Very Strong,IF,EX,GD,GD,-56.0,-51.0,-51.0,-55,-53,-57,-55,-56,-53,-57
3712,0.40-0.44,Very Strong,SI1,EX,GD,GD,-62.0,-59.0,-57.0,-53,-52,-53,-51,-53,-55,-52
