index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
841,0.95-0.99,None,SI1,EX,GD,EX,-30.0,-28.0,-30.0,-28,-29,-31,-32,-28,-28,-32
842,0.95-0.99,None,SI2,EX,GD,EX,-36.0,-32.0,-32.0,-28,-30,-29,-29,-28,-29,-32
843,0.95-0.99,None,VS1,EX,GD,EX,-36.0,-32.0,-30.0,-29,-29,-29,-28,-30,-31,-32
844,0.95-0.99,None,VS2,EX,GD,EX,-28.0,-27.0,-31.0,-28,-32,-31,-34,-30,-30,-31
845,0.95-0.99,None,VVS1,EX,GD,EX,-34.0,-31.0,-32.0,-33,-34,-31,-27,-28,-33,-34
846,0.95-0.99,None,VVS2,EX,GD,EX,-36.0,-35.0,-31.0,-33,-32,-30,-30,-27,-33,-33
847,0.30-0.34,None,IF,VG,GD,EX,-57.0,-53.0,-52.0,-56,-57,-56,-56,-56,-51,-53
848,0.30-0.34,None,SI1,VG,GD,EX,-54.0,-57.0,-56.0,-52,-52,-54,-51,-50,-50,-48
849,0.30-0.34,None,SI2,VG,GD,EX,-54.0,-58.0,-55.0,-50,-51,-52,-49,-52,-52,-48
850,0.30-0.34,None,VS1,VG,GD,EX,-51.0,-56.0,-54.0,-52,-52,-53,-52,-50,-49,-50
851,0.30-0.34,None,VS2,VG,GD,EX,-55.0,-57.0,-55.0,-52,-51,-54,-52,-49,-50,-48
852,0.30-0.34,None,VVS1,VG,GD,EX,-54.0,-51.0,-50.0,-55,-55,-54,-54,-54,-50,-56
853,0.30-0.34,None,VVS2,VG,GD,EX,-55.0,-55.0,-54.0,-53,-54,-55,-55,-53,-52,-54
854,0.35-0.39,None,IF,VG,GD,EX,-54.0,-44.0,-48.0,-50,-52,-52,-52,-53,-51,-47
855,0.35-0.39,None,SI1,VG,GD,EX,-51.0,-57.0,-54.0,-52,-49,-47,-40,-46,-45,-46
856,0.35-0.39,None,SI2,VG,GD,EX,-53.0,-56.0,-53.0,-50,-50,-48,-45,-50,-46,-46
857,0.35-0.39,None,VS1,VG,GD,EX,-52.0,-57.0,-53.0,-51,-50,-50,-45,-49,-46,-47
858,0.35-0.39,None,VS2,VG,GD,EX,-55.0,-58.0,-54.0,-51,-48,-50,-43,-47,-48,-47
859,0.35-0.39,None,VVS1,VG,GD,EX,-50.0,-46.0,-48.0,-50,-51,-51,-49,-52,-50,-48
860,0.35-0.39,None,VVS2,VG,GD,EX,-53.0,-53.0,-51.0,-52,-52,-52,-48,-52,-49,-51
861,0.40-0.44,None,IF,VG,GD,EX,-43.0,-39.0,-39.0,-43,-42,-47,-47,-49,-46,-50
862,0.40-0.44,None,IF,VG,GD,EX,-43.0,-39.0,-39.0,-43,-42,-47,-47,-49,-46,-50
863,0.40-0.44,None,SI1,VG,GD,EX,-49.0,-48.0,-48.0,-45,-43,-44,-44,-46,-48,-45
864,0.40-0.44,None,SI1,VG,GD,EX,-49.0,-48.0,-48.0,-45,-43,-44,-44,-46,-48,-45
