open,1,2,3,4,5,6,7,8,9,Cut,Shape,Polish,Symmetry
,,,,,,,,,,,Fancy,EX,EX
OT1,-4,-4,-3,-4,-4,-3,-4,-4,-3,,Fancy,EX,EX
,,,,,,,,,,,,,
OC1,-3,-3,-2,-3,-3,-2,-3,-3,-2,,Fancy,EX,EX
OG1,-2,-2,-1,-2,-2,-1,-2,-2,-1,,Fancy,EX,EX
OP1,-1.5,-1.5,-1,-1.5,-1.5,-1,-1.5,-1.5,-1,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
OT2,-6,-6,-5,-6,-6,-5,-6,-6,-5,,Fancy,EX,EX
OC2,-5,-5,-4,-5,-5,-4,-5,-5,-4,,Fancy,EX,EX
OG2,-4,-4,-3,-4,-4,-3,-4,-4,-3,,Fancy,EX,EX
OP2,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,-3.5,-3.5,-2.5,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
OT3,-9,-9,-8,-9,-9,-8,-9,-9,-8,,Fancy,EX,EX
OC3,-8,-8,-7,-8,-8,-7,-8,-8,-7,,Fancy,EX,EX
OG3,-7,-7,-6,-7,-7,-6,-7,-7,-6,,Fancy,EX,EX
OP3,-6,-6,-5,-6,-6,-5,-6,-6,-5,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
INT,-2,-2,-1.5,-1.5,-1.5,-1,0,0,0,,Fancy,EX,EX
INC,-2,-2,-1.5,-1.5,-1.5,-1,0,0,0,,Fancy,EX,EX
ING,-1,-1,-1,-1,-1,-0.5,0,0,0,,Fancy,EX,EX
INP,-1,-1,-1,-1,-1,-0.5,0,0,0,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
NC1,-1.5,-1.5,-1,-1,-1,0,-0.5,-0.5,0,,Fancy,EX,EX
NC2,-2,-2,-1.5,-1.5,-1.5,-0.5,-1,-1,-0.5,,Fancy,EX,EX
NP1,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,,Fancy,EX,EX
NP2,-1,-1,-1,-1,-1,-0.5,-0.5,-0.5,-0.5,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
NC3,-4,-4,-3.5,-3.5,-3.5,-3,-3,-3,-2.5,,Fancy,EX,EX
NP3,-3,-3,-3,-3,-3,-2.5,-2,-2,-2,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
EFT,-1,-1,-0.5,-0.5,-0.5,0,0,0,0,,Fancy,EX,EX
EFC,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,EX,EX
EFG,0,0,0,0,0,0,0,0,0,,Fancy,EX,EX
EFP,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
CTT,-4,-4,-3,-4,-4,-3,-3,-3,-2,,Fancy,EX,EX
CTC,-2,-2,-1,-2,-2,-1,-1,-1,-1,,Fancy,EX,EX
CTG,-3,-3,-2,-3,-3,-2,-2,-2,-1,,Fancy,EX,EX
CTP,-2,-2,-1,-2,-2,-1,-1,-1,-1,,Fancy,EX,EX
,,,,,,,,,,,Fancy,EX,EX
CHT,-1,-1,-1,-1,-1,-0.5,-1,-1,0,,Fancy,EX,EX
CHC,-1,-1,-1,-1,-1,0,-0.5,-0.5,0,,Fancy,EX,EX
CHG,-0.5,-0.5,0,-0.5,-0.5,0,0,0,0,,Fancy,EX,EX
