,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
317,VVS2,-49,-45,-44,-44,-44,-50,-47,-48,-48,-47,EX,DD,DD,Strong,0.40-0.44
318,VS1,-51,-47,-46,-42,-41,-49,-46,-45,-46,-46,EX,DD,DD,Strong,0.40-0.44
319,VS2,-52,-51,-49,-44,-41,-49,-45,-45,-47,-44,EX,DD,DD,Strong,0.40-0.44
320,SI1,-52,-49,-47,-43,-42,-43,-41,-43,-45,-42,EX,DD,DD,Strong,0.40-0.44
321,SI2,-54,-54,-50,-46,-43,-43,-42,-40,-38,-40,EX,DD,DD,Strong,0.40-0.44
322,IF,-31,-28,-28,-32,-31,-36,-35,-37,-34,-38,EX,DD,DD,None,0.40-0.44
323,VVS1,-30,-27,-28,-30,-31,-37,-37,-38,-33,-36,EX,DD,DD,None,0.40-0.44
324,VVS2,-34,-32,-31,-31,-32,-39,-37,-39,-39,-38,EX,DD,DD,None,0.40-0.44
325,VS1,-37,-35,-34,-32,-31,-39,-37,-37,-38,-38,EX,DD,DD,None,0.40-0.44
326,VS2,-38,-39,-37,-34,-31,-39,-36,-37,-39,-36,EX,DD,DD,None,0.40-0.44
327,SI1,-38,-37,-36,-33,-32,-33,-33,-36,-38,-35,EX,DD,DD,None,0.40-0.44
328,SI2,-40,-42,-39,-36,-33,-33,-34,-33,-31,-33,EX,DD,DD,None,0.40-0.44
329,IF,-38,-33,-33,-36,-34,-39,-38,-39,-36,-40,EX,DD,DD,Faint,0.40-0.44
330,VVS1,-37,-32,-33,-34,-34,-40,-40,-40,-35,-38,EX,DD,DD,Faint,0.40-0.44
331,VVS2,-41,-37,-36,-35,-35,-42,-40,-41,-41,-40,EX,DD,DD,Faint,0.40-0.44
332,VS1,-43,-39,-38,-35,-34,-41,-39,-39,-40,-40,EX,DD,DD,Faint,0.40-0.44
333,VS2,-44,-43,-41,-37,-34,-41,-38,-39,-41,-38,EX,DD,DD,Faint,0.40-0.44
334,SI1,-43,-40,-39,-36,-35,-35,-35,-38,-40,-37,EX,DD,DD,Faint,0.40-0.44
335,SI2,-45,-45,-42,-39,-36,-35,-36,-35,-33,-35,EX,DD,DD,Faint,0.40-0.44
336,IF,-42,-37,-37,-41,-38,-42,-41,-42,-39,-43,EX,DD,DD,Med,0.40-0.44
337,VVS1,-41,-36,-37,-39,-38,-43,-43,-43,-38,-41,EX,DD,DD,Med,0.40-0.44
338,VVS2,-45,-41,-40,-40,-39,-45,-43,-44,-44,-43,EX,DD,DD,Med,0.40-0.44
339,VS1,-47,-43,-42,-39,-38,-45,-42,-41,-42,-42,EX,DD,DD,Med,0.40-0.44
340,VS2,-48,-47,-45,-41,-38,-45,-41,-41,-43,-40,EX,DD,DD,Med,0.40-0.44
341,SI1,-48,-45,-43,-39,-38,-39,-37,-40,-42,-39,EX,DD,DD,Med,0.40-0.44
342,SI2,-50,-50,-46,-42,-39,-39,-38,-37,-35,-37,EX,DD,DD,Med,0.40-0.44
343,IF,-51,-46,-46,-50,-48,-52,-50,-51,-48,-52,EX,DD,DD,Very Strong,0.40-0.44
344,VVS1,-50,-45,-46,-48,-48,-53,-52,-52,-47,-50,EX,DD,DD,Very Strong,0.40-0.44
345,VVS2,-54,-50,-49,-49,-49,-55,-52,-53,-53,-52,EX,DD,DD,Very Strong,0.40-0.44
346,VS1,-56,-52,-51,-47,-46,-54,-51,-50,-51,-51,EX,DD,DD,Very Strong,0.40-0.44
347,VS2,-57,-56,-54,-49,-46,-54,-50,-50,-52,-49,EX,DD,DD,Very Strong,0.40-0.44
348,SI1,-57,-54,-52,-48,-47,-48,-46,-48,-50,-47,EX,DD,DD,Very Strong,0.40-0.44
349,SI2,-59,-59,-55,-51,-48,-48,-47,-45,-43,-45,EX,DD,DD,Very Strong,0.40-0.44
350,IF,-38,-34,-34,-38,-37,-42,-42,-44,-41,-45,VG,DD,DD,None,0.40-0.44
351,VVS1,-37,-33,-34,-36,-37,-43,-44,-45,-40,-43,VG,DD,DD,None,0.40-0.44
352,VVS2,-41,-38,-37,-37,-38,-45,-44,-46,-46,-45,VG,DD,DD,None,0.40-0.44
353,VS1,-43,-41,-40,-38,-37,-45,-43,-43,-44,-44,VG,DD,DD,None,0.40-0.44
354,VS2,-44,-45,-43,-40,-37,-45,-42,-43,-45,-42,VG,DD,DD,None,0.40-0.44
355,SI1,-44,-43,-43,-40,-38,-39,-39,-41,-43,-40,VG,DD,DD,None,0.40-0.44
356,SI2,-46,-48,-46,-43,-39,-39,-40,-38,-36,-38,VG,DD,DD,None,0.40-0.44
357,IF,-45,-39,-39,-42,-40,-45,-45,-46,-43,-47,VG,DD,DD,Faint,0.40-0.44
358,VVS1,-44,-38,-39,-40,-40,-46,-47,-47,-42,-45,VG,DD,DD,Faint,0.40-0.44
359,VVS2,-48,-43,-42,-41,-41,-48,-47,-48,-48,-47,VG,DD,DD,Faint,0.40-0.44
360,VS1,-49,-45,-44,-41,-40,-47,-45,-45,-46,-46,VG,DD,DD,Faint,0.40-0.44
361,VS2,-50,-49,-47,-43,-40,-47,-44,-45,-47,-44,VG,DD,DD,Faint,0.40-0.44
362,SI1,-49,-46,-46,-43,-41,-41,-41,-43,-45,-42,VG,DD,DD,Faint,0.40-0.44
363,SI2,-51,-51,-49,-46,-42,-41,-42,-40,-38,-40,VG,DD,DD,Faint,0.40-0.44
364,IF,-49,-43,-43,-47,-44,-48,-48,-49,-46,-50,VG,DD,DD,Med,0.40-0.44
365,VVS1,-48,-42,-43,-45,-44,-49,-50,-50,-45,-48,VG,DD,DD,Med,0.40-0.44
366,VVS2,-52,-47,-46,-46,-45,-51,-50,-51,-51,-50,VG,DD,DD,Med,0.40-0.44
367,VS1,-53,-49,-48,-45,-44,-51,-48,-47,-48,-48,VG,DD,DD,Med,0.40-0.44
368,VS2,-54,-53,-51,-47,-44,-51,-47,-47,-49,-46,VG,DD,DD,Med,0.40-0.44
369,SI1,-54,-51,-50,-46,-44,-45,-43,-45,-47,-44,VG,DD,DD,Med,0.40-0.44
370,SI2,-56,-56,-53,-49,-45,-45,-44,-42,-40,-42,VG,DD,DD,Med,0.40-0.44
371,IF,-53,-47,-47,-51,-49,-53,-52,-53,-50,-54,VG,DD,DD,Strong,0.40-0.44
372,VVS1,-52,-46,-47,-49,-49,-54,-54,-54,-49,-52,VG,DD,DD,Strong,0.40-0.44
373,VVS2,-56,-51,-50,-50,-50,-56,-54,-55,-55,-54,VG,DD,DD,Strong,0.40-0.44
374,VS1,-57,-53,-52,-48,-47,-55,-52,-51,-52,-52,VG,DD,DD,Strong,0.40-0.44
375,VS2,-58,-57,-55,-50,-47,-55,-51,-51,-53,-50,VG,DD,DD,Strong,0.40-0.44
376,SI1,-58,-55,-54,-50,-48,-49,-47,-48,-50,-47,VG,DD,DD,Strong,0.40-0.44
377,SI2,-60,-60,-57,-53,-49,-49,-48,-45,-43,-45,VG,DD,DD,Strong,0.40-0.44
378,IF,-58,-52,-52,-56,-54,-58,-57,-58,-55,-59,VG,DD,DD,Very Strong,0.40-0.44
379,VVS1,-57,-51,-52,-54,-54,-59,-59,-59,-54,-57,VG,DD,DD,Very Strong,0.40-0.44
380,VVS2,-61,-56,-55,-55,-55,-61,-59,-60,-60,-59,VG,DD,DD,Very Strong,0.40-0.44
381,VS1,-62,-58,-57,-53,-52,-60,-57,-56,-57,-57,VG,DD,DD,Very Strong,0.40-0.44
382,VS2,-63,-62,-60,-55,-52,-60,-56,-56,-58,-55,VG,DD,DD,Very Strong,0.40-0.44
383,SI1,-63,-60,-59,-55,-53,-54,-52,-53,-55,-52,VG,DD,DD,Very Strong,0.40-0.44
384,SI2,-65,-65,-62,-58,-54,-54,-53,-50,-48,-50,VG,DD,DD,Very Strong,0.40-0.44
385,IF,-44,-41,-40,-46,-44,-48,-48,-49,-46,-50,GD,DD,DD,None,0.40-0.44
386,VVS1,-43,-40,-40,-44,-44,-49,-50,-50,-45,-48,GD,DD,DD,None,0.40-0.44
387,VVS2,-47,-45,-43,-45,-45,-51,-50,-51,-51,-50,GD,DD,DD,None,0.40-0.44
388,VS1,-49,-46,-46,-44,-42,-51,-49,-48,-49,-49,GD,DD,DD,None,0.40-0.44
389,VS2,-50,-50,-49,-46,-42,-51,-48,-48,-50,-47,GD,DD,DD,None,0.40-0.44
390,SI1,-50,-48,-48,-45,-43,-44,-43,-45,-47,-44,GD,DD,DD,None,0.40-0.44
391,SI2,-52,-53,-51,-48,-44,-44,-44,-42,-40,-42,GD,DD,DD,None,0.40-0.44
392,IF,-48,-44,-42,-48,-46,-50,-50,-50,-47,-51,GD,DD,DD,Faint,0.40-0.44
393,VVS1,-47,-43,-42,-46,-46,-51,-52,-51,-46,-49,GD,DD,DD,Faint,0.40-0.44
394,VVS2,-51,-48,-45,-47,-47,-53,-52,-52,-52,-51,GD,DD,DD,Faint,0.40-0.44
395,VS1,-53,-48,-48,-46,-44,-53,-51,-49,-50,-50,GD,DD,DD,Faint,0.40-0.44
396,VS2,-54,-52,-51,-48,-44,-53,-50,-49,-51,-48,GD,DD,DD,Faint,0.40-0.44
397,SI1,-54,-50,-50,-47,-45,-46,-45,-46,-48,-45,GD,DD,DD,Faint,0.40-0.44
398,SI2,-56,-55,-53,-50,-46,-46,-46,-43,-41,-43,GD,DD,DD,Faint,0.40-0.44
399,IF,-55,-50,-49,-55,-51,-54,-54,-54,-51,-55,GD,DD,DD,Med,0.40-0.44
400,VVS1,-54,-49,-49,-53,-51,-55,-56,-55,-50,-53,GD,DD,DD,Med,0.40-0.44
401,VVS2,-58,-54,-52,-54,-52,-57,-56,-56,-56,-55,GD,DD,DD,Med,0.40-0.44
402,VS1,-59,-54,-54,-51,-48,-57,-54,-52,-53,-53,GD,DD,DD,Med,0.40-0.44
403,VS2,-60,-58,-57,-53,-48,-57,-53,-52,-54,-51,GD,DD,DD,Med,0.40-0.44
404,SI1,-59,-55,-55,-51,-48,-49,-47,-49,-51,-48,GD,DD,DD,Med,0.40-0.44
405,SI2,-61,-60,-58,-54,-49,-49,-48,-46,-44,-46,GD,DD,DD,Med,0.40-0.44
406,IF,-59,-54,-53,-59,-56,-59,-58,-58,-55,-59,GD,DD,DD,Strong,0.40-0.44
407,VVS1,-58,-53,-53,-57,-56,-60,-60,-59,-54,-57,GD,DD,DD,Strong,0.40-0.44
408,VVS2,-62,-58,-56,-58,-57,-62,-60,-60,-60,-59,GD,DD,DD,Strong,0.40-0.44
409,VS1,-63,-58,-58,-54,-52,-61,-58,-56,-57,-57,GD,DD,DD,Strong,0.40-0.44
410,VS2,-64,-62,-61,-56,-52,-61,-57,-56,-58,-55,GD,DD,DD,Strong,0.40-0.44
411,SI1,-64,-60,-59,-55,-53,-54,-51,-52,-54,-51,GD,DD,DD,Strong,0.40-0.44
412,SI2,-66,-65,-62,-58,-54,-54,-52,-49,-47,-49,GD,DD,DD,Strong,0.40-0.44
413,IF,-64,-59,-58,-64,-61,-64,-63,-63,-60,-64,GD,DD,DD,Very Strong,0.40-0.44
414,VVS1,-63,-58,-58,-62,-61,-65,-65,-64,-59,-62,GD,DD,DD,Very Strong,0.40-0.44
415,VVS2,-67,-63,-61,-63,-62,-67,-65,-65,-65,-64,GD,DD,DD,Very Strong,0.40-0.44
416,VS1,-68,-63,-63,-59,-57,-66,-63,-61,-62,-62,GD,DD,DD,Very Strong,0.40-0.44
417,VS2,-69,-67,-66,-61,-57,-66,-62,-61,-63,-60,GD,DD,DD,Very Strong,0.40-0.44
418,SI1,-69,-65,-64,-60,-58,-59,-56,-57,-59,-56,GD,DD,DD,Very Strong,0.40-0.44
419,SI2,-71,-70,-67,-63,-59,-59,-57,-54,-52,-54,GD,DD,DD,Very Strong,0.40-0.44
420,IF,-24,-21,-21,-27,-27,-32,-33,-35,-32,-36,EX,EX,EX,None,0.40-0.44
421,VVS1,-23,-20,-21,-25,-27,-33,-35,-36,-31,-34,EX,EX,EX,None,0.40-0.44
422,VVS2,-27,-25,-24,-26,-28,-35,-35,-37,-37,-36,EX,EX,EX,None,0.40-0.44
423,VS1,-30,-28,-28,-27,-27,-36,-35,-35,-36,-36,EX,EX,EX,None,0.40-0.44
424,VS2,-31,-32,-31,-29,-27,-36,-34,-35,-37,-34,EX,EX,EX,None,0.40-0.44
425,SI1,-33,-32,-32,-30,-29,-30,-31,-34,-36,-33,EX,EX,EX,None,0.40-0.44
426,SI2,-35,-37,-35,-33,-30,-30,-32,-31,-29,-31,EX,EX,EX,None,0.40-0.44
427,IF,-31,-26,-26,-31,-30,-35,-36,-37,-34,-38,EX,EX,EX,Faint,0.40-0.44
428,VVS1,-30,-25,-26,-29,-30,-36,-38,-38,-33,-36,EX,EX,EX,Faint,0.40-0.44
429,VVS2,-34,-30,-29,-30,-31,-38,-38,-39,-39,-38,EX,EX,EX,Faint,0.40-0.44
430,VS1,-36,-32,-32,-30,-30,-38,-37,-37,-38,-38,EX,EX,EX,Faint,0.40-0.44
431,VS2,-37,-36,-35,-32,-30,-38,-36,-37,-39,-36,EX,EX,EX,Faint,0.40-0.44
432,SI1,-38,-35,-35,-33,-32,-32,-33,-36,-38,-35,EX,EX,EX,Faint,0.40-0.44
433,SI2,-40,-40,-38,-36,-33,-32,-34,-33,-31,-33,EX,EX,EX,Faint,0.40-0.44
434,IF,-35,-30,-30,-36,-34,-38,-39,-40,-37,-41,EX,EX,EX,Med,0.40-0.44
435,VVS1,-34,-29,-30,-34,-34,-39,-41,-41,-36,-39,EX,EX,EX,Med,0.40-0.44
436,VVS2,-38,-34,-33,-35,-35,-41,-41,-42,-42,-41,EX,EX,EX,Med,0.40-0.44
437,VS1,-40,-36,-36,-34,-34,-42,-40,-39,-40,-40,EX,EX,EX,Med,0.40-0.44
438,VS2,-41,-40,-39,-36,-34,-42,-39,-39,-41,-38,EX,EX,EX,Med,0.40-0.44
439,SI1,-43,-40,-39,-36,-35,-36,-35,-38,-40,-37,EX,EX,EX,Med,0.40-0.44
440,SI2,-45,-45,-42,-39,-36,-36,-36,-35,-33,-35,EX,EX,EX,Med,0.40-0.44
441,IF,-39,-34,-34,-40,-39,-43,-43,-44,-41,-45,EX,EX,EX,Strong,0.40-0.44
442,VVS1,-38,-33,-34,-38,-39,-44,-45,-45,-40,-43,EX,EX,EX,Strong,0.40-0.44
443,VVS2,-42,-38,-37,-39,-40,-46,-45,-46,-46,-45,EX,EX,EX,Strong,0.40-0.44
444,VS1,-44,-40,-40,-37,-37,-46,-44,-43,-44,-44,EX,EX,EX,Strong,0.40-0.44
445,VS2,-45,-44,-43,-39,-37,-46,-43,-43,-45,-42,EX,EX,EX,Strong,0.40-0.44
446,SI1,-47,-44,-43,-40,-39,-40,-39,-41,-43,-40,EX,EX,EX,Strong,0.40-0.44
447,SI2,-49,-49,-46,-43,-40,-40,-40,-38,-36,-38,EX,EX,EX,Strong,0.40-0.44
448,IF,-44,-39,-39,-45,-44,-48,-48,-49,-46,-50,EX,EX,EX,Very Strong,0.40-0.44
449,VVS1,-43,-38,-39,-43,-44,-49,-50,-50,-45,-48,EX,EX,EX,Very Strong,0.40-0.44
450,VVS2,-47,-43,-42,-44,-45,-51,-50,-51,-51,-50,EX,EX,EX,Very Strong,0.40-0.44
451,VS1,-49,-45,-45,-42,-42,-51,-49,-48,-49,-49,EX,EX,EX,Very Strong,0.40-0.44
452,VS2,-50,-49,-48,-44,-42,-51,-48,-48,-50,-47,EX,EX,EX,Very Strong,0.40-0.44
453,SI1,-52,-49,-48,-45,-44,-45,-44,-46,-48,-45,EX,EX,EX,Very Strong,0.40-0.44
454,SI2,-54,-54,-51,-48,-45,-45,-45,-43,-41,-43,EX,EX,EX,Very Strong,0.40-0.44
455,IF,-46,-41,-41,-45,-43,-47,-45,-46,-43,-47,EX,DD,DD,Strong,0.40-0.44
456,VVS1,-45,-40,-41,-43,-43,-48,-47,-47,-42,-45,EX,DD,DD,Strong,0.40-0.44
457,VVS2,-49,-45,-44,-44,-44,-50,-47,-48,-48,-47,EX,DD,DD,Strong,0.40-0.44
458,VS1,-51,-47,-46,-42,-41,-49,-46,-45,-46,-46,EX,DD,DD,Strong,0.40-0.44
459,VS2,-52,-51,-49,-44,-41,-49,-45,-45,-47,-44,EX,DD,DD,Strong,0.40-0.44
460,SI1,-52,-49,-47,-43,-42,-43,-41,-43,-45,-42,EX,DD,DD,Strong,0.40-0.44
461,SI2,-54,-54,-50,-46,-43,-43,-42,-40,-38,-40,EX,DD,DD,Strong,0.40-0.44
462,IF,-31,-28,-28,-32,-31,-36,-35,-37,-34,-38,EX,DD,DD,None,0.40-0.44
463,VVS1,-30,-27,-28,-30,-31,-37,-37,-38,-33,-36,EX,DD,DD,None,0.40-0.44
464,VVS2,-34,-32,-31,-31,-32,-39,-37,-39,-39,-38,EX,DD,DD,None,0.40-0.44
465,VS1,-37,-35,-34,-32,-31,-39,-37,-37,-38,-38,EX,DD,DD,None,0.40-0.44
466,VS2,-38,-39,-37,-34,-31,-39,-36,-37,-39,-36,EX,DD,DD,None,0.40-0.44
467,SI1,-38,-37,-36,-33,-32,-33,-33,-36,-38,-35,EX,DD,DD,None,0.40-0.44
468,SI2,-40,-42,-39,-36,-33,-33,-34,-33,-31,-33,EX,DD,DD,None,0.40-0.44
469,IF,-38,-33,-33,-36,-34,-39,-38,-39,-36,-40,EX,DD,DD,Faint,0.40-0.44
470,VVS1,-37,-32,-33,-34,-34,-40,-40,-40,-35,-38,EX,DD,DD,Faint,0.40-0.44
471,VVS2,-41,-37,-36,-35,-35,-42,-40,-41,-41,-40,EX,DD,DD,Faint,0.40-0.44
472,VS1,-43,-39,-38,-35,-34,-41,-39,-39,-40,-40,EX,DD,DD,Faint,0.40-0.44
473,VS2,-44,-43,-41,-37,-34,-41,-38,-39,-41,-38,EX,DD,DD,Faint,0.40-0.44
474,SI1,-43,-40,-39,-36,-35,-35,-35,-38,-40,-37,EX,DD,DD,Faint,0.40-0.44
475,SI2,-45,-45,-42,-39,-36,-35,-36,-35,-33,-35,EX,DD,DD,Faint,0.40-0.44
476,IF,-42,-37,-37,-41,-38,-42,-41,-42,-39,-43,EX,DD,DD,Med,0.40-0.44
477,VVS1,-41,-36,-37,-39,-38,-43,-43,-43,-38,-41,EX,DD,DD,Med,0.40-0.44
478,VVS2,-45,-41,-40,-40,-39,-45,-43,-44,-44,-43,EX,DD,DD,Med,0.40-0.44
479,VS1,-47,-43,-42,-39,-38,-45,-42,-41,-42,-42,EX,DD,DD,Med,0.40-0.44
480,VS2,-48,-47,-45,-41,-38,-45,-41,-41,-43,-40,EX,DD,DD,Med,0.40-0.44
481,SI1,-48,-45,-43,-39,-38,-39,-37,-40,-42,-39,EX,DD,DD,Med,0.40-0.44
482,SI2,-50,-50,-46,-42,-39,-39,-38,-37,-35,-37,EX,DD,DD,Med,0.40-0.44
483,IF,-51,-46,-46,-50,-48,-52,-50,-51,-48,-52,EX,DD,DD,Very Strong,0.40-0.44
484,VVS1,-50,-45,-46,-48,-48,-53,-52,-52,-47,-50,EX,DD,DD,Very Strong,0.40-0.44
485,VVS2,-54,-50,-49,-49,-49,-55,-52,-53,-53,-52,EX,DD,DD,Very Strong,0.40-0.44
486,VS1,-56,-52,-51,-47,-46,-54,-51,-50,-51,-51,EX,DD,DD,Very Strong,0.40-0.44
487,VS2,-57,-56,-54,-49,-46,-54,-50,-50,-52,-49,EX,DD,DD,Very Strong,0.40-0.44
488,SI1,-57,-54,-52,-48,-47,-48,-46,-48,-50,-47,EX,DD,DD,Very Strong,0.40-0.44
489,SI2,-59,-59,-55,-51,-48,-48,-47,-45,-43,-45,EX,DD,DD,Very Strong,0.40-0.44
490,IF,-38,-34,-34,-38,-37,-42,-42,-44,-41,-45,VG,DD,DD,None,0.40-0.44
491,VVS1,-37,-33,-34,-36,-37,-43,-44,-45,-40,-43,VG,DD,DD,None,0.40-0.44
492,VVS2,-41,-38,-37,-37,-38,-45,-44,-46,-46,-45,VG,DD,DD,None,0.40-0.44
493,VS1,-43,-41,-40,-38,-37,-45,-43,-43,-44,-44,VG,DD,DD,None,0.40-0.44
494,VS2,-44,-45,-43,-40,-37,-45,-42,-43,-45,-42,VG,DD,DD,None,0.40-0.44
495,SI1,-44,-43,-43,-40,-38,-39,-39,-41,-43,-40,VG,DD,DD,None,0.40-0.44
496,SI2,-46,-48,-46,-43,-39,-39,-40,-38,-36,-38,VG,DD,DD,None,0.40-0.44
497,IF,-45,-39,-39,-42,-40,-45,-45,-46,-43,-47,VG,DD,DD,Faint,0.40-0.44
498,VVS1,-44,-38,-39,-40,-40,-46,-47,-47,-42,-45,VG,DD,DD,Faint,0.40-0.44
499,VVS2,-48,-43,-42,-41,-41,-48,-47,-48,-48,-47,VG,DD,DD,Faint,0.40-0.44
500,VS1,-49,-45,-44,-41,-40,-47,-45,-45,-46,-46,VG,DD,DD,Faint,0.40-0.44
501,VS2,-50,-49,-47,-43,-40,-47,-44,-45,-47,-44,VG,DD,DD,Faint,0.40-0.44
502,SI1,-49,-46,-46,-43,-41,-41,-41,-43,-45,-42,VG,DD,DD,Faint,0.40-0.44
503,SI2,-51,-51,-49,-46,-42,-41,-42,-40,-38,-40,VG,DD,DD,Faint,0.40-0.44
504,IF,-49,-43,-43,-47,-44,-48,-48,-49,-46,-50,VG,DD,DD,Med,0.40-0.44
505,VVS1,-48,-42,-43,-45,-44,-49,-50,-50,-45,-48,VG,DD,DD,Med,0.40-0.44
506,VVS2,-52,-47,-46,-46,-45,-51,-50,-51,-51,-50,VG,DD,DD,Med,0.40-0.44
507,VS1,-53,-49,-48,-45,-44,-51,-48,-47,-48,-48,VG,DD,DD,Med,0.40-0.44
508,VS2,-54,-53,-51,-47,-44,-51,-47,-47,-49,-46,VG,DD,DD,Med,0.40-0.44
509,SI1,-54,-51,-50,-46,-44,-45,-43,-45,-47,-44,VG,DD,DD,Med,0.40-0.44
510,SI2,-56,-56,-53,-49,-45,-45,-44,-42,-40,-42,VG,DD,DD,Med,0.40-0.44
511,IF,-53,-47,-47,-51,-49,-53,-52,-53,-50,-54,VG,DD,DD,Strong,0.40-0.44
512,VVS1,-52,-46,-47,-49,-49,-54,-54,-54,-49,-52,VG,DD,DD,Strong,0.40-0.44
513,VVS2,-56,-51,-50,-50,-50,-56,-54,-55,-55,-54,VG,DD,DD,Strong,0.40-0.44
514,VS1,-57,-53,-52,-48,-47,-55,-52,-51,-52,-52,VG,DD,DD,Strong,0.40-0.44
515,VS2,-58,-57,-55,-50,-47,-55,-51,-51,-53,-50,VG,DD,DD,Strong,0.40-0.44
516,SI1,-58,-55,-54,-50,-48,-49,-47,-48,-50,-47,VG,DD,DD,Strong,0.40-0.44
517,SI2,-60,-60,-57,-53,-49,-49,-48,-45,-43,-45,VG,DD,DD,Strong,0.40-0.44
518,IF,-58,-52,-52,-56,-54,-58,-57,-58,-55,-59,VG,DD,DD,Very Strong,0.40-0.44
519,VVS1,-57,-51,-52,-54,-54,-59,-59,-59,-54,-57,VG,DD,DD,Very Strong,0.40-0.44
520,VVS2,-61,-56,-55,-55,-55,-61,-59,-60,-60,-59,VG,DD,DD,Very Strong,0.40-0.44
521,VS1,-62,-58,-57,-53,-52,-60,-57,-56,-57,-57,VG,DD,DD,Very Strong,0.40-0.44
522,VS2,-63,-62,-60,-55,-52,-60,-56,-56,-58,-55,VG,DD,DD,Very Strong,0.40-0.44
523,SI1,-63,-60,-59,-55,-53,-54,-52,-53,-55,-52,VG,DD,DD,Very Strong,0.40-0.44
524,SI2,-65,-65,-62,-58,-54,-54,-53,-50,-48,-50,VG,DD,DD,Very Strong,0.40-0.44
525,IF,-44,-41,-40,-46,-44,-48,-48,-49,-46,-50,GD,DD,DD,None,0.40-0.44
526,VVS1,-43,-40,-40,-44,-44,-49,-50,-50,-45,-48,GD,DD,DD,None,0.40-0.44
527,VVS2,-47,-45,-43,-45,-45,-51,-50,-51,-51,-50,GD,DD,DD,None,0.40-0.44
528,VS1,-49,-46,-46,-44,-42,-51,-49,-48,-49,-49,GD,DD,DD,None,0.40-0.44
529,VS2,-50,-50,-49,-46,-42,-51,-48,-48,-50,-47,GD,DD,DD,None,0.40-0.44
530,SI1,-50,-48,-48,-45,-43,-44,-43,-45,-47,-44,GD,DD,DD,None,0.40-0.44
531,SI2,-52,-53,-51,-48,-44,-44,-44,-42,-40,-42,GD,DD,DD,None,0.40-0.44
532,IF,-48,-44,-42,-48,-46,-50,-50,-50,-47,-51,GD,DD,DD,Faint,0.40-0.44
533,VVS1,-47,-43,-42,-46,-46,-51,-52,-51,-46,-49,GD,DD,DD,Faint,0.40-0.44
534,VVS2,-51,-48,-45,-47,-47,-53,-52,-52,-52,-51,GD,DD,DD,Faint,0.40-0.44
535,VS1,-53,-48,-48,-46,-44,-53,-51,-49,-50,-50,GD,DD,DD,Faint,0.40-0.44
536,VS2,-54,-52,-51,-48,-44,-53,-50,-49,-51,-48,GD,DD,DD,Faint,0.40-0.44
537,SI1,-54,-50,-50,-47,-45,-46,-45,-46,-48,-45,GD,DD,DD,Faint,0.40-0.44
538,SI2,-56,-55,-53,-50,-46,-46,-46,-43,-41,-43,GD,DD,DD,Faint,0.40-0.44
539,IF,-55,-50,-49,-55,-51,-54,-54,-54,-51,-55,GD,DD,DD,Med,0.40-0.44
540,VVS1,-54,-49,-49,-53,-51,-55,-56,-55,-50,-53,GD,DD,DD,Med,0.40-0.44
541,VVS2,-58,-54,-52,-54,-52,-57,-56,-56,-56,-55,GD,DD,DD,Med,0.40-0.44
542,VS1,-59,-54,-54,-51,-48,-57,-54,-52,-53,-53,GD,DD,DD,Med,0.40-0.44
543,VS2,-60,-58,-57,-53,-48,-57,-53,-52,-54,-51,GD,DD,DD,Med,0.40-0.44
544,SI1,-59,-55,-55,-51,-48,-49,-47,-49,-51,-48,GD,DD,DD,Med,0.40-0.44
545,SI2,-61,-60,-58,-54,-49,-49,-48,-46,-44,-46,GD,DD,DD,Med,0.40-0.44
546,IF,-59,-54,-53,-59,-56,-59,-58,-58,-55,-59,GD,DD,DD,Strong,0.40-0.44
547,VVS1,-58,-53,-53,-57,-56,-60,-60,-59,-54,-57,GD,DD,DD,Strong,0.40-0.44
548,VVS2,-62,-58,-56,-58,-57,-62,-60,-60,-60,-59,GD,DD,DD,Strong,0.40-0.44
549,VS1,-63,-58,-58,-54,-52,-61,-58,-56,-57,-57,GD,DD,DD,Strong,0.40-0.44
550,VS2,-64,-62,-61,-56,-52,-61,-57,-56,-58,-55,GD,DD,DD,Strong,0.40-0.44
551,SI1,-64,-60,-59,-55,-53,-54,-51,-52,-54,-51,GD,DD,DD,Strong,0.40-0.44
552,SI2,-66,-65,-62,-58,-54,-54,-52,-49,-47,-49,GD,DD,DD,Strong,0.40-0.44
553,IF,-64,-59,-58,-64,-61,-64,-63,-63,-60,-64,GD,DD,DD,Very Strong,0.40-0.44
554,VVS1,-63,-58,-58,-62,-61,-65,-65,-64,-59,-62,GD,DD,DD,Very Strong,0.40-0.44
555,VVS2,-67,-63,-61,-63,-62,-67,-65,-65,-65,-64,GD,DD,DD,Very Strong,0.40-0.44
556,VS1,-68,-63,-63,-59,-57,-66,-63,-61,-62,-62,GD,DD,DD,Very Strong,0.40-0.44
557,VS2,-69,-67,-66,-61,-57,-66,-62,-61,-63,-60,GD,DD,DD,Very Strong,0.40-0.44
558,SI1,-69,-65,-64,-60,-58,-59,-56,-57,-59,-56,GD,DD,DD,Very Strong,0.40-0.44
559,SI2,-71,-70,-67,-63,-59,-59,-57,-54,-52,-54,GD,DD,DD,Very Strong,0.40-0.44
560,IF,-17,-11,-9,-11,-15,-17,-16,-25,-24,-22,EX,EX,EX,None,0.45-0.49
561,VVS1,-13,-9,-9,-13,-15,-21,-19,-22,-22,-23,EX,EX,EX,None,0.45-0.49
