,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
643,SI2,-52,-48,-45,-44,-38,-38,-38,-38,-37,-42,VG,DD,DD,Faint,0.45-0.49
644,IF,-50,-42,-39,-40,-42,-42,-39,-47,-46,-44,VG,DD,DD,Med,0.45-0.49
645,VVS1,-46,-40,-39,-42,-42,-46,-42,-44,-44,-45,VG,DD,DD,Med,0.45-0.49
646,VVS2,-53,-49,-45,-44,-43,-46,-47,-45,-47,-53,VG,DD,DD,Med,0.45-0.49
647,VS1,-51,-47,-45,-41,-41,-45,-47,-45,-47,-49,VG,DD,DD,Med,0.45-0.49
648,VS2,-47,-50,-48,-44,-39,-43,-44,-45,-45,-46,VG,DD,DD,Med,0.45-0.49
649,SI1,-52,-48,-46,-44,-40,-42,-43,-42,-42,-47,VG,DD,DD,Med,0.45-0.49
650,SI2,-58,-54,-50,-49,-43,-43,-43,-42,-41,-46,VG,DD,DD,Med,0.45-0.49
651,IF,-59,-51,-48,-48,-51,-51,-48,-56,-55,-53,VG,DD,DD,Strong,0.45-0.49
652,VVS1,-55,-49,-48,-50,-51,-55,-51,-53,-53,-54,VG,DD,DD,Strong,0.45-0.49
653,VVS2,-62,-58,-54,-52,-52,-55,-56,-54,-56,-62,VG,DD,DD,Strong,0.45-0.49
654,VS1,-58,-54,-52,-48,-48,-52,-54,-52,-54,-56,VG,DD,DD,Strong,0.45-0.49
655,VS2,-54,-57,-55,-51,-46,-50,-51,-52,-52,-53,VG,DD,DD,Strong,0.45-0.49
656,SI1,-59,-55,-53,-51,-47,-49,-50,-49,-49,-54,VG,DD,DD,Strong,0.45-0.49
657,SI2,-65,-61,-57,-56,-50,-50,-50,-49,-48,-53,VG,DD,DD,Strong,0.45-0.49
658,IF,-64,-56,-53,-53,-56,-56,-53,-61,-60,-58,VG,DD,DD,Very Strong,0.45-0.49
659,VVS1,-60,-54,-53,-55,-56,-60,-56,-58,-58,-59,VG,DD,DD,Very Strong,0.45-0.49
660,VVS2,-67,-63,-59,-57,-57,-60,-61,-59,-61,-67,VG,DD,DD,Very Strong,0.45-0.49
661,VS1,-63,-59,-57,-53,-53,-57,-59,-57,-59,-61,VG,DD,DD,Very Strong,0.45-0.49
662,VS2,-59,-62,-60,-56,-51,-55,-56,-57,-57,-58,VG,DD,DD,Very Strong,0.45-0.49
663,SI1,-64,-60,-58,-56,-52,-54,-55,-54,-54,-59,VG,DD,DD,Very Strong,0.45-0.49
664,SI2,-70,-66,-62,-61,-55,-55,-55,-54,-53,-58,VG,DD,DD,Very Strong,0.45-0.49
665,IF,-47,-41,-39,-40,-43,-45,-43,-50,-49,-47,GD,DD,DD,None,0.45-0.49
666,VVS1,-43,-39,-39,-42,-43,-49,-46,-47,-47,-48,GD,DD,DD,None,0.45-0.49
667,VVS2,-50,-48,-45,-44,-44,-49,-51,-48,-50,-56,GD,DD,DD,None,0.45-0.49
668,VS1,-49,-47,-46,-43,-44,-48,-50,-47,-49,-51,GD,DD,DD,None,0.45-0.49
669,VS2,-45,-50,-49,-46,-42,-46,-47,-47,-47,-48,GD,DD,DD,None,0.45-0.49
670,SI1,-51,-48,-48,-47,-44,-46,-46,-47,-47,-52,GD,DD,DD,None,0.45-0.49
671,SI2,-57,-54,-52,-52,-47,-47,-46,-47,-46,-51,GD,DD,DD,None,0.45-0.49
672,IF,-54,-48,-46,-47,-49,-49,-46,-53,-52,-50,GD,DD,DD,Faint,0.45-0.49
673,VVS1,-50,-46,-46,-49,-49,-53,-49,-50,-50,-51,GD,DD,DD,Faint,0.45-0.49
674,VVS2,-57,-55,-52,-51,-50,-53,-54,-51,-53,-59,GD,DD,DD,Faint,0.45-0.49
675,VS1,-55,-53,-52,-49,-49,-52,-53,-50,-52,-54,GD,DD,DD,Faint,0.45-0.49
676,VS2,-51,-56,-55,-52,-47,-50,-50,-50,-50,-51,GD,DD,DD,Faint,0.45-0.49
677,SI1,-56,-53,-53,-52,-49,-50,-49,-49,-49,-54,GD,DD,DD,Faint,0.45-0.49
678,SI2,-62,-59,-57,-57,-52,-51,-49,-49,-48,-53,GD,DD,DD,Faint,0.45-0.49
679,IF,-67,-61,-59,-59,-61,-63,-60,-65,-64,-62,GD,DD,DD,Med,0.45-0.49
680,VVS1,-63,-59,-59,-61,-61,-67,-63,-62,-62,-63,GD,DD,DD,Med,0.45-0.49
681,VVS2,-69,-68,-65,-63,-62,-67,-68,-63,-65,-69,GD,DD,DD,Med,0.45-0.49
682,VS1,-68,-66,-65,-61,-61,-64,-65,-61,-63,-65,GD,DD,DD,Med,0.45-0.49
683,VS2,-64,-69,-68,-64,-59,-62,-62,-61,-61,-62,GD,DD,DD,Med,0.45-0.49
684,SI1,-69,-65,-65,-64,-60,-61,-60,-61,-61,-66,GD,DD,DD,Med,0.45-0.49
685,SI2,-69,-69,-69,-69,-63,-62,-60,-61,-60,-65,GD,DD,DD,Med,0.45-0.49
686,IF,-71,-66,-64,-64,-66,-68,-65,-70,-69,-67,GD,DD,DD,Strong,0.45-0.49
687,VVS1,-68,-64,-64,-66,-66,-71,-68,-67,-67,-68,GD,DD,DD,Strong,0.45-0.49
688,VVS2,-71,-71,-70,-68,-67,-71,-71,-68,-70,-71,GD,DD,DD,Strong,0.45-0.49
689,VS1,-71,-71,-70,-66,-66,-69,-70,-66,-68,-70,GD,DD,DD,Strong,0.45-0.49
690,VS2,-69,-71,-71,-69,-64,-67,-67,-66,-66,-67,GD,DD,DD,Strong,0.45-0.49
691,SI1,-71,-70,-70,-69,-65,-66,-65,-66,-66,-71,GD,DD,DD,Strong,0.45-0.49
692,SI2,-71,-71,-71,-71,-68,-67,-65,-66,-65,-70,GD,DD,DD,Strong,0.45-0.49
693,IF,-76,-71,-69,-69,-71,-73,-70,-75,-74,-72,GD,DD,DD,Very Strong,0.45-0.49
694,VVS1,-73,-69,-69,-71,-71,-76,-73,-72,-72,-73,GD,DD,DD,Very Strong,0.45-0.49
695,VVS2,-76,-76,-75,-73,-72,-76,-76,-73,-75,-76,GD,DD,DD,Very Strong,0.45-0.49
696,VS1,-76,-76,-75,-71,-71,-74,-75,-71,-73,-75,GD,DD,DD,Very Strong,0.45-0.49
697,VS2,-74,-76,-76,-74,-69,-72,-72,-71,-71,-72,GD,DD,DD,Very Strong,0.45-0.49
698,SI1,-76,-75,-75,-74,-70,-71,-70,-71,-71,-76,GD,DD,DD,Very Strong,0.45-0.49
699,SI2,-76,-76,-76,-76,-73,-72,-70,-71,-70,-75,GD,DD,DD,Very Strong,0.45-0.49
700,IF,-33,-30,-33,-34,-39,-39,-35,-32,-36,-35,EX,EX,EX,None,0.50-0.59
701,VVS1,-35,-31,-33,-35,-39,-40,-37,-32,-35,-37,EX,EX,EX,None,0.50-0.59
702,VVS2,-40,-37,-38,-39,-38,-39,-37,-38,-34,-37,EX,EX,EX,None,0.50-0.59
703,VS1,-41,-41,-41,-39,-40,-39,-37,-38,-37,-36,EX,EX,EX,None,0.50-0.59
704,VS2,-41,-43,-41,-42,-40,-39,-36,-41,-35,-35,EX,EX,EX,None,0.50-0.59
705,SI1,-40,-41,-42,-41,-39,-41,-39,-39,-37,-38,EX,EX,EX,None,0.50-0.59
706,SI2,-41,-41,-41,-42,-40,-40,-40,-36,-36,-34,EX,EX,EX,None,0.50-0.59
707,IF,-40,-35,-38,-38,-43,-42,-38,-34,-38,-37,EX,EX,EX,Faint,0.50-0.59
708,VVS1,-42,-36,-38,-39,-43,-43,-40,-34,-37,-39,EX,EX,EX,Faint,0.50-0.59
709,VVS2,-47,-42,-43,-43,-42,-42,-40,-40,-36,-39,EX,EX,EX,Faint,0.50-0.59
710,VS1,-48,-46,-46,-43,-44,-42,-40,-40,-39,-38,EX,EX,EX,Faint,0.50-0.59
711,VS2,-48,-48,-46,-46,-44,-42,-39,-43,-37,-37,EX,EX,EX,Faint,0.50-0.59
712,SI1,-45,-44,-45,-44,-42,-43,-41,-41,-39,-40,EX,EX,EX,Faint,0.50-0.59
713,SI2,-46,-44,-44,-45,-43,-42,-42,-38,-38,-36,EX,EX,EX,Faint,0.50-0.59
714,IF,-44,-39,-42,-43,-48,-47,-42,-38,-42,-41,EX,EX,EX,Med,0.50-0.59
715,VVS1,-46,-40,-42,-44,-48,-48,-44,-38,-41,-43,EX,EX,EX,Med,0.50-0.59
716,VVS2,-51,-46,-47,-48,-47,-47,-44,-44,-40,-43,EX,EX,EX,Med,0.50-0.59
717,VS1,-52,-50,-50,-48,-49,-46,-43,-43,-42,-41,EX,EX,EX,Med,0.50-0.59
718,VS2,-52,-52,-50,-51,-49,-46,-42,-46,-40,-40,EX,EX,EX,Med,0.50-0.59
719,SI1,-49,-48,-51,-48,-46,-47,-44,-43,-41,-42,EX,EX,EX,Med,0.50-0.59
720,SI2,-50,-48,-50,-49,-47,-46,-45,-40,-40,-38,EX,EX,EX,Med,0.50-0.59
721,IF,-49,-46,-49,-49,-54,-53,-49,-46,-50,-49,EX,EX,EX,Strong,0.50-0.59
722,VVS1,-51,-47,-49,-50,-54,-54,-51,-46,-49,-51,EX,EX,EX,Strong,0.50-0.59
723,VVS2,-56,-53,-54,-54,-53,-53,-51,-52,-48,-51,EX,EX,EX,Strong,0.50-0.59
724,VS1,-57,-55,-55,-53,-54,-51,-48,-48,-47,-46,EX,EX,EX,Strong,0.50-0.59
725,VS2,-57,-57,-55,-56,-54,-51,-47,-51,-45,-45,EX,EX,EX,Strong,0.50-0.59
726,SI1,-54,-53,-56,-53,-51,-52,-49,-49,-47,-48,EX,EX,EX,Strong,0.50-0.59
727,SI2,-55,-53,-55,-54,-52,-51,-50,-46,-46,-44,EX,EX,EX,Strong,0.50-0.59
728,IF,-54,-51,-54,-54,-59,-58,-54,-51,-55,-54,EX,EX,EX,Very Strong,0.50-0.59
729,VVS1,-56,-52,-54,-55,-59,-59,-56,-51,-54,-56,EX,EX,EX,Very Strong,0.50-0.59
730,VVS2,-61,-58,-59,-59,-58,-58,-56,-57,-53,-56,EX,EX,EX,Very Strong,0.50-0.59
731,VS1,-62,-60,-60,-58,-59,-56,-53,-53,-52,-51,EX,EX,EX,Very Strong,0.50-0.59
732,VS2,-62,-62,-60,-61,-59,-56,-52,-56,-50,-50,EX,EX,EX,Very Strong,0.50-0.59
733,SI1,-59,-58,-61,-58,-56,-57,-54,-54,-52,-53,EX,EX,EX,Very Strong,0.50-0.59
734,SI2,-60,-58,-60,-59,-57,-56,-55,-51,-51,-49,EX,EX,EX,Very Strong,0.50-0.59
735,IF,-54,-51,-54,-53,-57,-56,-52,-48,-52,-51,EX,DD,DD,Strong,0.50-0.59
736,VVS1,-56,-52,-54,-54,-57,-57,-54,-48,-51,-53,EX,DD,DD,Strong,0.50-0.59
737,VVS2,-61,-58,-59,-58,-56,-56,-54,-54,-50,-53,EX,DD,DD,Strong,0.50-0.59
738,VS1,-61,-59,-59,-56,-57,-54,-50,-50,-49,-48,EX,DD,DD,Strong,0.50-0.59
739,VS2,-61,-61,-59,-59,-57,-54,-49,-53,-47,-47,EX,DD,DD,Strong,0.50-0.59
740,SI1,-57,-56,-59,-56,-53,-54,-51,-51,-49,-50,EX,DD,DD,Strong,0.50-0.59
741,SI2,-58,-56,-58,-57,-54,-53,-52,-48,-48,-46,EX,DD,DD,Strong,0.50-0.59
742,IF,-38,-35,-38,-38,-42,-42,-38,-34,-38,-37,EX,DD,DD,None,0.50-0.59
743,VVS1,-40,-36,-38,-39,-42,-43,-40,-34,-37,-39,EX,DD,DD,None,0.50-0.59
744,VVS2,-45,-42,-43,-43,-41,-42,-40,-40,-36,-39,EX,DD,DD,None,0.50-0.59
745,VS1,-45,-45,-45,-42,-43,-42,-39,-40,-39,-38,EX,DD,DD,None,0.50-0.59
746,VS2,-45,-47,-45,-45,-43,-42,-38,-43,-37,-37,EX,DD,DD,None,0.50-0.59
747,SI1,-43,-44,-45,-44,-41,-43,-41,-41,-39,-40,EX,DD,DD,None,0.50-0.59
748,SI2,-44,-44,-44,-45,-42,-42,-42,-38,-38,-36,EX,DD,DD,None,0.50-0.59
749,IF,-45,-40,-43,-42,-46,-45,-41,-36,-40,-39,EX,DD,DD,Faint,0.50-0.59
750,VVS1,-47,-41,-43,-43,-46,-46,-43,-36,-39,-41,EX,DD,DD,Faint,0.50-0.59
751,VVS2,-52,-47,-48,-47,-45,-45,-43,-42,-38,-41,EX,DD,DD,Faint,0.50-0.59
752,VS1,-52,-50,-50,-46,-47,-45,-42,-42,-41,-40,EX,DD,DD,Faint,0.50-0.59
753,VS2,-52,-52,-50,-49,-47,-45,-41,-45,-39,-39,EX,DD,DD,Faint,0.50-0.59
754,SI1,-48,-47,-48,-47,-44,-45,-43,-43,-41,-42,EX,DD,DD,Faint,0.50-0.59
755,SI2,-49,-47,-47,-48,-45,-44,-44,-40,-40,-38,EX,DD,DD,Faint,0.50-0.59
756,IF,-49,-44,-47,-47,-51,-50,-45,-40,-44,-43,EX,DD,DD,Med,0.50-0.59
757,VVS1,-51,-45,-47,-48,-51,-51,-47,-40,-43,-45,EX,DD,DD,Med,0.50-0.59
758,VVS2,-56,-51,-52,-52,-50,-50,-47,-46,-42,-45,EX,DD,DD,Med,0.50-0.59
759,VS1,-56,-54,-54,-51,-52,-49,-45,-45,-44,-43,EX,DD,DD,Med,0.50-0.59
760,VS2,-56,-56,-54,-54,-52,-49,-44,-48,-42,-42,EX,DD,DD,Med,0.50-0.59
761,SI1,-52,-51,-54,-51,-48,-49,-46,-45,-43,-44,EX,DD,DD,Med,0.50-0.59
762,SI2,-53,-51,-53,-52,-49,-48,-47,-42,-42,-40,EX,DD,DD,Med,0.50-0.59
763,IF,-59,-56,-59,-58,-62,-61,-57,-53,-57,-56,EX,DD,DD,Very Strong,0.50-0.59
764,VVS1,-61,-57,-59,-59,-62,-62,-59,-53,-56,-58,EX,DD,DD,Very Strong,0.50-0.59
765,VVS2,-66,-63,-64,-63,-61,-61,-59,-59,-55,-58,EX,DD,DD,Very Strong,0.50-0.59
766,VS1,-66,-64,-64,-61,-62,-59,-55,-55,-54,-53,EX,DD,DD,Very Strong,0.50-0.59
767,VS2,-66,-66,-64,-64,-62,-59,-54,-58,-52,-52,EX,DD,DD,Very Strong,0.50-0.59
768,SI1,-62,-61,-64,-61,-58,-59,-56,-56,-54,-55,EX,DD,DD,Very Strong,0.50-0.59
769,SI2,-63,-61,-63,-62,-59,-58,-57,-53,-53,-51,EX,DD,DD,Very Strong,0.50-0.59
770,IF,-49,-44,-45,-44,-49,-48,-43,-39,-43,-42,VG,DD,DD,None,0.50-0.59
771,VVS1,-51,-45,-45,-45,-49,-49,-45,-39,-42,-44,VG,DD,DD,None,0.50-0.59
772,VVS2,-56,-51,-50,-49,-48,-48,-45,-45,-41,-44,VG,DD,DD,None,0.50-0.59
773,VS1,-54,-53,-53,-49,-50,-47,-44,-45,-44,-43,VG,DD,DD,None,0.50-0.59
774,VS2,-54,-55,-53,-52,-50,-47,-43,-48,-42,-42,VG,DD,DD,None,0.50-0.59
775,SI1,-52,-53,-54,-50,-48,-49,-46,-46,-44,-45,VG,DD,DD,None,0.50-0.59
776,SI2,-53,-53,-53,-51,-49,-48,-47,-43,-43,-41,VG,DD,DD,None,0.50-0.59
777,IF,-56,-49,-50,-48,-53,-51,-46,-41,-45,-44,VG,DD,DD,Faint,0.50-0.59
778,VVS1,-58,-50,-50,-49,-53,-52,-48,-41,-44,-46,VG,DD,DD,Faint,0.50-0.59
779,VVS2,-63,-56,-55,-53,-52,-51,-48,-47,-43,-46,VG,DD,DD,Faint,0.50-0.59
780,VS1,-61,-58,-58,-53,-54,-50,-47,-47,-46,-45,VG,DD,DD,Faint,0.50-0.59
781,VS2,-61,-60,-58,-56,-54,-50,-46,-50,-44,-44,VG,DD,DD,Faint,0.50-0.59
782,SI1,-57,-56,-57,-53,-51,-51,-48,-48,-46,-47,VG,DD,DD,Faint,0.50-0.59
783,SI2,-58,-56,-56,-54,-52,-50,-49,-45,-45,-43,VG,DD,DD,Faint,0.50-0.59
784,IF,-60,-53,-54,-53,-58,-56,-50,-45,-49,-48,VG,DD,DD,Med,0.50-0.59
785,VVS1,-62,-54,-54,-54,-58,-57,-52,-45,-48,-50,VG,DD,DD,Med,0.50-0.59
786,VVS2,-65,-60,-59,-58,-57,-56,-52,-51,-47,-50,VG,DD,DD,Med,0.50-0.59
787,VS1,-65,-62,-62,-58,-59,-54,-50,-50,-49,-48,VG,DD,DD,Med,0.50-0.59
788,VS2,-65,-64,-62,-61,-59,-54,-49,-53,-47,-47,VG,DD,DD,Med,0.50-0.59
789,SI1,-61,-60,-63,-57,-55,-55,-51,-50,-48,-49,VG,DD,DD,Med,0.50-0.59
790,SI2,-62,-60,-62,-58,-56,-54,-52,-47,-47,-45,VG,DD,DD,Med,0.50-0.59
791,IF,-65,-60,-61,-59,-64,-62,-57,-53,-57,-56,VG,DD,DD,Strong,0.50-0.59
792,VVS1,-67,-61,-61,-60,-64,-63,-59,-53,-56,-58,VG,DD,DD,Strong,0.50-0.59
793,VVS2,-68,-67,-66,-64,-63,-62,-59,-59,-55,-58,VG,DD,DD,Strong,0.50-0.59
794,VS1,-68,-67,-67,-63,-64,-59,-55,-55,-54,-53,VG,DD,DD,Strong,0.50-0.59
795,VS2,-68,-68,-67,-66,-64,-59,-54,-58,-52,-52,VG,DD,DD,Strong,0.50-0.59
796,SI1,-66,-65,-68,-62,-60,-60,-56,-56,-54,-55,VG,DD,DD,Strong,0.50-0.59
797,SI2,-67,-65,-67,-63,-61,-59,-57,-53,-53,-51,VG,DD,DD,Strong,0.50-0.59
798,IF,-70,-65,-66,-64,-69,-67,-62,-58,-62,-61,VG,DD,DD,Very Strong,0.50-0.59
799,VVS1,-72,-66,-66,-65,-69,-68,-64,-58,-61,-63,VG,DD,DD,Very Strong,0.50-0.59
800,VVS2,-73,-72,-71,-69,-68,-67,-64,-64,-60,-63,VG,DD,DD,Very Strong,0.50-0.59
801,VS1,-73,-72,-72,-68,-69,-64,-60,-60,-59,-58,VG,DD,DD,Very Strong,0.50-0.59
802,VS2,-73,-73,-72,-71,-69,-64,-59,-63,-57,-57,VG,DD,DD,Very Strong,0.50-0.59
803,SI1,-71,-70,-73,-67,-65,-65,-61,-61,-59,-60,VG,DD,DD,Very Strong,0.50-0.59
804,SI2,-72,-70,-72,-68,-66,-64,-62,-58,-58,-56,VG,DD,DD,Very Strong,0.50-0.59
805,IF,-55,-52,-55,-55,-58,-57,-52,-49,-53,-52,GD,DD,DD,None,0.50-0.59
806,VVS1,-57,-53,-55,-56,-58,-58,-54,-49,-52,-54,GD,DD,DD,None,0.50-0.59
807,VVS2,-62,-59,-60,-60,-57,-57,-54,-55,-51,-54,GD,DD,DD,None,0.50-0.59
808,VS1,-63,-63,-63,-60,-59,-56,-53,-54,-53,-52,GD,DD,DD,None,0.50-0.59
809,VS2,-63,-65,-63,-63,-59,-56,-52,-57,-51,-51,GD,DD,DD,None,0.50-0.59
