Size,Shape,EX,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.10-1.199,PR,1.10-1.199,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.10-1.199,PR,D,-40,-35,-35,-34,-33,-35,-36
1.10-1.199,PR,E,-34,-34,-32,-31,-31,-35,-36
1.10-1.199,PR,F,-33,-32,-31,-28,-29,-34,-35
1.10-1.199,PR,G,-32,-30,-30,-29,-29,-33,-34
1.10-1.199,PR,H,-32,-30,-30,-29,-28,-33,-34
1.10-1.199,PR,I,-30,-30,-30,-29,-28,-32,-33
1.10-1.199,PR,J,-32,-32,-32,-30,-29,-32,-32
1.10-1.199,PR,K,-29,-29,-31,-33,-34,-35,-35
1.10-1.199,PR,L,-34,-35,-35,-35,-35,-36,-36
1.10-1.199,PR,M,,,,,,,
,PR,,,,,,,,
1.20-1.299,PR,1.20-1.299,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.20-1.299,PR,D,-21,-18,-18,-15,-15,-15,-20
1.20-1.299,PR,E,-20,-18,-18,-16,-15,-17,-20
1.20-1.299,PR,F,-14,-15,-15,-13,-13,-15,-18
1.20-1.299,PR,G,-13,-11,-11,-14,-15,-17,-17
1.20-1.299,PR,H,-13,-15,-15,-14,-11,-15,-21
1.20-1.299,PR,I,-18,-14,-13,-13,-14,-14,-15
1.20-1.299,PR,J,-19,-17,-17,-15,-15,-16,-20
1.20-1.299,PR,K,-20,-20,-20,-22,-20,-20,-20
1.20-1.299,PR,L,-23,-20,-20,-20,-22,-22,-21
1.20-1.299,PR,M,,,,,,,
,PR,,,,,,,,
1.30-1.399,PR,1.30-1.399,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.30-1.399,PR,D,-18,-15,-13,-12,-12,-12,-11
1.30-1.399,PR,E,-12,-12,-12,-10,-10,-10,-12
1.30-1.399,PR,F,-11,-10,-10,-9,-9,-9,-11
1.30-1.399,PR,G,-10,-8,-8,-9,-8,-9,-14
1.30-1.399,PR,H,-10,-10,-10,-10,-10,-11,-13
1.30-1.399,PR,I,-12,-10,-8,-8,-7,-10,-11
1.30-1.399,PR,J,-15,-13,-13,-12,-12,-10,-11
1.30-1.399,PR,K,-18,-17,-17,-17,-17,-17,-17
1.30-1.399,PR,L,-17,-17,-17,-17,-16,-17,-19
1.30-1.399,PR,M,,,,,,,
,PR,,,,,,,,
1.40-1.499,PR,1.40-1.499,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.40-1.499,PR,D,-15,-8,-6,-5,-5,-4,-5
1.40-1.499,PR,E,-11,-8,-5,-5,-6,-7,-11
1.40-1.499,PR,F,-10,-7,-5,-4,-6,-7,-8
1.40-1.499,PR,G,-10,-7,-5,-4,-4,-7,-9
1.40-1.499,PR,H,-9,-6,-5,-5,-6,-6,-8
1.40-1.499,PR,I,-7,-6,-3,-3,-3,-7,-7
1.40-1.499,PR,J,-7,-9,-9,-8,-9,-8,-9
1.40-1.499,PR,K,-10,-12,-11,-12,-10,-10,-10
1.40-1.499,PR,L,-11,-9,-10,-9,-10,-12,-14
1.40-1.499,PR,M,,,,,,,
,PR,,,,,,,,
1.50-1.599,PR,1.50-1.599,IF,VVS1,VVS2,VS1,VS2,SI1,SI2
1.50-1.599,PR,D,-29,-28,-28,-28,-26,-32,-31
1.50-1.599,PR,E,-26,-23,-22,-24,-24,-28,-29
