Location,Intensity,1,2,3,4,5,6,7,8,9,sizemin,sizemax,cut,polish,sym,Shape
Crown,BC1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,EX,EX,EX,Fancy
Crown,BC1,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,3,10.0,EX,EX,EX,Fancy
Crown,BC2,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Crown,BC3,,,,,,,,,,3,10.0,EX,EX,EX,Fancy
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,VG,VG,Fancy
Table,BT1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,,VG,VG,Fancy
Table,BT1,-5.0,-5.0,-4.5,-5.0,-5.0,-4.5,-5.0,-4.5,-4.0,3,10.0,,VG,VG,Fancy
Table,BT2,,,,,,,,,,3,10.0,,VG,VG,Fancy
Table,BT3,,,,,,,,,,3,10.0,,VG,VG,Fancy
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,VG,VG,Fancy
Crown,BC1+,-3.5,-3.5,-3.5,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3,10.0,,VG,VG,Fancy
Crown,BC1,-4.5,-4.5,-4.0,-4.5,-4.5,-4.0,-4.0,-4.0,-4.0,3,10.0,,VG,VG,Fancy
Crown,BC2,,,,,,,,,,3,10.0,,VG,VG,Fancy
Crown,BC3,,,,,,,,,,3,10.0,,VG,VG,Fancy
Table,BT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Table,BT1+,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Table,BT1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0.99,,,,Dossiers
Table,BT2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,0,0.99,,,,Dossiers
Table,BT3,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0.99,,,,Dossiers
Crown,BC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,BC1+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,BC1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.99,,,,Dossiers
Crown,BC2,-3.0,-2.0,-2.0,-3.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0.99,,,,Dossiers
Crown,BC3,-4.0,-3.0,-3.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,0.99,,,,Dossiers
