Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,
-0.44,RO,J,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.41,RO,K,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,L,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.43,RO,M,IF,EX,EX,EX,Very Strong,1.01-1.09,
-0.59,RO,D,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,E,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,F,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,G,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.52,RO,H,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.47,RO,I,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.42,RO,J,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.42,RO,K,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.43,RO,L,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,M,VVS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.56,RO,D,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.57,RO,E,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,F,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,G,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.52,RO,H,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.48,RO,I,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.42,RO,J,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,K,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,L,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,M,VVS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,D,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.56,RO,E,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,F,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.52,RO,G,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.52,RO,H,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,I,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.42,RO,J,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.42,RO,K,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,L,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,M,VS1,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,D,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,E,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.54,RO,F,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,G,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.51,RO,H,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,I,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.44,RO,J,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.44,RO,K,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,L,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,M,VS2,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,D,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.55,RO,E,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,F,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,G,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.49,RO,H,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.49,RO,I,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,J,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,K,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.45,RO,L,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.46,RO,M,SI1,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,D,SI2,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,E,SI2,EX,EX,EX,Very Strong,1.01-1.09,
-0.52,RO,F,SI2,EX,EX,EX,Very Strong,1.01-1.09,
-0.53,RO,G,SI2,EX,EX,EX,Very Strong,1.01-1.09,
